scenario,checkpoint_name,order_index,step,true_accuracy,oof_pointwise,oof_pairwise,oof_combined_raw,oof_combined_smoothed,blend_alpha,fit_pointwise,fit_pairwise,fit_combined_raw,fit_combined_smoothed
math5000rl_qwen3_4b,base,0,0,0.28609375,0.3035177735321185,0.1254635696729461,-2.216598647887153,-1.8478488622494436,0.5092592592592593,0.28583353795123667,0.05936346241006198,-2.5228842736863406,-2.1791205167778775
math5000rl_qwen3_4b,step-100,1,100,0.3034375,0.3166090754609192,0.3552258368464311,-0.5349699906698766,-0.7942780461417022,0.5978260869565218,0.30503174830100627,0.3092544696551914,-1.063717400851349,-1.196938354182269
math5000rl_qwen3_4b,step-200,2,200,0.3128125,0.3132144770819021,0.38818229250754915,-0.5322532880198668,-0.48158738852489097,0.6221374045801527,0.31292487064127367,0.36849408776228415,-0.5604668976165674,-0.5953874868178595
math5000rl_qwen3_4b,step-300,3,300,0.3184375,0.32149427390855284,0.4529896719155181,0.04117543309228411,-0.024137018065291845,0.63671875,0.3191453524414705,0.44224344809973903,-0.10371890617257506,-0.09360973145714188
math5000rl_qwen3_4b,step-400,4,400,0.33078125,0.3219711010079948,0.5156784153900387,0.24017989234797238,0.24670634908694744,0.5729166666666667,0.3284803255263607,0.536733600406635,0.5457493512645633,0.4370513802333849
math5000rl_qwen3_4b,step-500,5,500,0.329375,0.32624501714758747,0.5756661759462308,0.5636035645075486,0.5361967354934012,0.5729166666666667,0.3289036571327815,0.590523773694798,0.6852158076051557,0.6571468604062592
math5000rl_qwen3_4b,step-600,6,600,0.33203125,0.32874577598549065,0.6509518350795143,0.8839861857239735,0.7473818961451479,0.6037037037037037,0.3314616835307474,0.6547652820124241,0.9484082749800851,0.7970453485822871
math5000rl_qwen3_4b,step-700,7,700,0.32296875,0.32410938839861475,0.5986770855631892,0.4852998915311833,0.5682690865716793,0.5863309352517986,0.32314856826286126,0.5881572425941377,0.40901010769910606,0.5044783327646065
math5000rl_qwen3_4b,step-800,8,800,0.3225,0.32586945479409396,0.615765200988724,0.5983507182246023,0.6262111199710563,0.5863309352517986,0.3228884563807294,0.5979276121285882,0.41847656066839756,0.4846776742769275
math5000rl_qwen3_4b,step-900,9,900,0.32640625,0.32434774001538685,0.6911473175272481,0.7280030264095882,0.7637543012174447,0.5821428571428572,0.326147235206013,0.6809878211885071,0.7564803035380498,0.6540230546707623
math5000rl_qwen3_4b,step-1000,10,1000,0.32,0.3319456486594521,0.7287275573205679,1.0873353701589445,1.0034439819148517,0.5659722222222223,0.3208783146255194,0.6715492000476329,0.48744707257147313,0.5306334383009184
