feature,scope,group,layer,module,family,metric,selected,variance,abs_spearman,reg_coef,pair_coef,combined_importance,selection_rank_abs_spearman
layer_12_delta_prev_sign_flip_ratio,layer,layer_12,12.0,,delta_prev,prev_sign_flip_ratio,1,2.972072814077322e-09,0.7727272727272727,0.0017627257022376826,0.06751527571919738,0.03018700513665255,0.7727272727272727
layer_34_delta_prev_stable_rank,layer,layer_34,34.0,,delta_prev,prev_stable_rank,1,60.0706796642974,0.7363636363636363,0.0015491220994277577,0.056905496854323355,0.025479221602846165,0.7363636363636363
layer_23_delta_prev_sign_flip_ratio,layer,layer_23,23.0,,delta_prev,prev_sign_flip_ratio,1,7.106559211588947e-09,0.690909090909091,0.0007716707869715034,0.05769663319341623,0.025379857660590838,0.690909090909091
layer_24_delta_prev_sign_flip_ratio,layer,layer_24,24.0,,delta_prev,prev_sign_flip_ratio,1,2.3905117337308533e-09,0.690909090909091,0.0011117390763581586,0.055001183213190794,0.024407696698009768,0.690909090909091
layer_19_delta_prev_probe_std,layer,layer_19,19.0,,delta_prev,prev_probe_std,1,1.8693396250285526e-09,0.7454545454545456,0.0007728645971387035,0.052111772925384624,0.022966246843203343,0.7454545454545456
layer_23_delta_base_sign_flip_ratio,layer,layer_23,23.0,,delta_base,base_sign_flip_ratio,1,2.0507013800897108e-08,0.6788172508915258,0.0008869002634959844,0.049759983999467995,0.022014327086858885,0.6788172508915258
layer_30_delta_base_probe_std,layer,layer_30,30.0,,delta_base,base_probe_std,1,3.1503926108402837e-09,0.6090909090909091,0.0008751427170262683,0.0473272196739711,0.02095598848487221,0.6090909090909091
layer_00_delta_base_stable_rank,layer,layer_00,0.0,,delta_base,base_stable_rank,1,31.545061102739638,0.881818181818182,0.001079553710309166,0.046947922092303376,0.02090806712544208,0.881818181818182
layer_10_delta_prev_stable_rank,layer,layer_10,10.0,,delta_prev,prev_stable_rank,1,125.29901654614274,0.7181818181818183,0.0012174750232117242,0.046583294598384895,0.020828740777062624,0.7181818181818183
layer_31_delta_base_probe_std,layer,layer_31,31.0,,delta_base,base_probe_std,1,3.035086603790557e-09,0.6636363636363638,0.0005940942328563079,0.04727669676257071,0.020774594284764095,0.6636363636363638
layer_35_delta_base_probe_std,layer,layer_35,35.0,,delta_base,base_probe_std,1,3.644148716650447e-09,0.6636363636363638,0.0004897530928617711,0.04402991872999142,0.019311803863079274,0.6636363636363638
layer_03_delta_prev_stable_rank,layer,layer_03,3.0,,delta_prev,prev_stable_rank,1,61.55711651192944,0.6454545454545455,0.001001558811702279,0.043259272609483215,0.019269216338867995,0.6454545454545455
layer_19_delta_base_probe_std,layer,layer_19,19.0,,delta_base,base_probe_std,1,1.3079634066607497e-08,0.7272727272727273,0.0009215265959226912,0.04103581467758831,0.018262599047892722,0.7272727272727273
