scenario,checkpoint_name,order_index,step,true_accuracy,oof_pointwise,oof_pairwise,oof_combined_raw,oof_combined_smoothed,blend_alpha,fit_pointwise,fit_pairwise,fit_combined_raw,fit_combined_smoothed
math5000rl_qwen3_4b,base,0,0,0.28609375,-3714.2849245827106,1.0,-230245.9377515598,-180642.3028308792,0.5092592592592593,0.28570739373254445,0.06410086768096367,-2.5750867614632087,-2.210217884677311
math5000rl_qwen3_4b,step-100,1,100,0.3034375,0.31620230794337456,0.3717048672124734,-0.5295146694533844,-38917.63162893469,0.5905797101449275,0.3057049036767368,0.3307052323574616,-1.0061517277600611,-1.1677353795747465
math5000rl_qwen3_4b,step-200,2,200,0.3128125,0.3115456808534203,0.40024501198404766,-0.5968931088525178,-8384.680753462259,0.5948905109489051,0.3124463876262097,0.38453923187639627,-0.5673438492637436,-0.5869204510855686
math5000rl_qwen3_4b,step-300,3,300,0.3184375,0.322130876257092,0.4704605831448984,0.08722473525252414,-1806.2551932852791,0.5948905109489051,0.31956687670690037,0.4605591990715104,-0.05596828428119346,-0.06203867065874737
math5000rl_qwen3_4b,step-400,4,400,0.33078125,0.3231191200038631,0.5393591787968783,0.34826541342575823,-388.8079703098185,0.5536912751677853,0.32787740919936326,0.550653680881254,0.5442965029293436,0.44549914868934826
math5000rl_qwen3_4b,step-500,5,500,0.329375,0.3266494052164947,0.5896178262080143,0.6294691535303242,-83.23570654362696,0.5729166666666667,0.32886581154397454,0.5976785198895361,0.7064610110730248,0.6707588130660284
math5000rl_qwen3_4b,step-600,6,600,0.33203125,0.3293821529407919,0.6489050601944704,0.9313216595241063,-17.278230483599042,0.5821428571428572,0.3312066939490731,0.6512394688465222,0.9459992805326095,0.7940121974227183
math5000rl_qwen3_4b,step-700,7,700,0.32296875,0.3238594006672838,0.5778779344919306,0.43928316335350087,-3.3480462610658424,0.5582191780821918,0.32316920717793807,0.570813498668487,0.38222727200734197,0.4830167728940053
math5000rl_qwen3_4b,step-800,8,800,0.3225,0.3257063059998849,0.5869948882813307,0.5378669299758919,-0.2388032511593346,0.5582191780821918,0.32301353987917736,0.5750782896915363,0.38586428228575737,0.4599913508986158
math5000rl_qwen3_4b,step-900,9,900,0.32640625,0.3240697580343505,0.7164241780890768,0.8059251857752757,0.6513820983608117,0.573943661971831,0.3261188722923962,0.6679533285975154,0.7581840758248616,0.6487575535113935
math5000rl_qwen3_4b,step-1000,10,1000,0.32,0.33472058541075983,0.7340616996868027,1.2570375544715053,1.1000157695539179,0.546979865771812,0.32116665421568596,0.6466786824388168,0.4815181981152669,0.5248765495142627
