method_id,domain,anchor_pct,comp_k,alpha_eff_aligned,abs_importance,top_positive_features,top_negative_features,dominant_family,family_purity,auto_label
es_svd_ms_rr_r1,math,10,0,0.3273261683495151,0.3273261683495151,tok_neg_entropy_recency::raw;tok_selfcert_recency::raw;tok_selfcert_prefix::raw;tok_neg_entropy_prefix::raw;tok_gini_prefix::raw,traj_novelty::raw;traj_novelty::rank;traj_max_reflection::raw;traj_reflection_count::raw;traj_reflection_count::rank,uncertainty,0.3328930429783939,uncertainty(↑)
es_svd_ms_rr_r1,math,10,1,0.5093090962914099,0.5093090962914099,tok_conf_prefix::raw;tok_conf_recency::raw;tok_selfcert_prefix::raw;tok_neg_entropy_prefix::raw;tok_logprob_prefix::raw,tok_selfcert_recency::rank;tok_neg_entropy_recency::rank;tok_neg_entropy_prefix::rank;tok_selfcert_prefix::rank;tok_gini_prefix::rank,self_cert_logprob,0.30111207697832776,self_cert_logprob(↓)
es_svd_ms_rr_r1,math,10,2,0.1186605468019452,0.1186605468019452,tok_conf_prefix::raw;tok_conf_recency::raw;tok_logprob_prefix::raw;tok_neg_entropy_prefix::raw;tok_selfcert_prefix::raw,has_tok_neg_entropy::rank;has_tok_selfcert::rank;has_tok_logprob::rank;has_rows_bank::rank;has_tok_gini::rank,availability_meta,0.6012205611802096,availability_meta(↓)
es_svd_ms_rr_r1,math,10,3,0.3921338033640816,0.3921338033640816,traj_max_reflection::raw;traj_max_reflection::rank;traj_reflection_count::rank;traj_novelty::rank;traj_reflection_count::raw,traj_continuity::rank;traj_continuity::raw;has_rows_bank::rank;has_tok_logprob::rank;has_tok_gini::rank,trajectory,0.650427060517159,trajectory(↑)
es_svd_ms_rr_r1,math,10,4,0.1342202148651038,0.1342202148651038,tok_conf_prefix::rank;tok_conf_recency::rank;tok_logprob_prefix::rank;tok_selfcert_prefix::rank;tok_neg_entropy_prefix::rank,traj_late_convergence::raw;tok_gini_slope::raw;tok_gini_slope::rank;tok_gini_tail::rank;traj_late_convergence::rank,uncertainty,0.48288588829601664,uncertainty(↓)
es_svd_ms_rr_r1,math,10,5,1.1914475954248724,1.1914475954248724,traj_continuity::rank;traj_late_convergence::raw;traj_continuity::raw;traj_late_convergence::rank;traj_max_reflection::raw,traj_novelty::rank;traj_novelty::raw;tok_gini_tail::rank;tok_gini_slope::rank;tok_gini_slope::raw,trajectory,0.6781179034291004,trajectory(↑)
es_svd_ms_rr_r1,math,10,6,0.6230646272527306,0.6230646272527306,tok_gini_slope::rank;tok_gini_slope::raw;traj_continuity::rank;traj_max_reflection::raw;traj_max_reflection::rank,traj_late_convergence::raw;traj_late_convergence::rank;traj_novelty::rank;traj_novelty::raw;tok_conf_prefix::rank,trajectory,0.5674867054050707,trajectory(↓)
es_svd_ms_rr_r1,math,10,7,0.057416830916459154,0.057416830916459154,tok_gini_tail::rank;tok_gini_tail::raw;traj_max_reflection::raw;traj_max_reflection::rank;traj_continuity::rank,tok_gini_slope::raw;tok_gini_slope::rank;traj_reflection_count::rank;traj_novelty::rank;traj_late_convergence::raw,uncertainty,0.6644160295770337,uncertainty(↑)
es_svd_ms_rr_r1,math,10,8,1.513006042027796,1.513006042027796,traj_reflection_count::raw;traj_reflection_count::rank;traj_continuity::raw;tok_gini_tail::rank;traj_continuity::rank,traj_max_reflection::rank;traj_max_reflection::raw;traj_late_convergence::rank;traj_late_convergence::raw;tok_logprob_recency::raw,trajectory,0.7557795230023973,trajectory(↑)
es_svd_ms_rr_r1,math,10,9,0.14450708868197482,0.14450708868197482,traj_novelty::raw;traj_reflection_count::raw;traj_max_reflection::raw;tok_conf_prefix::raw;tok_conf_recency::raw,traj_reflection_count::rank;traj_continuity::raw;traj_novelty::rank;traj_max_reflection::rank;tok_conf_prefix::rank,trajectory,0.6221431974591302,trajectory(↓)
es_svd_ms_rr_r1,math,10,10,2.2476106567910294,2.2476106567910294,traj_continuity::raw;traj_reflection_count::raw;traj_max_reflection::raw;traj_novelty::rank;tok_logprob_recency::rank,traj_continuity::rank;traj_novelty::raw;traj_reflection_count::rank;tok_conf_prefix::rank;tok_conf_recency::rank,trajectory,0.6126657541415766,trajectory(↓)
es_svd_ms_rr_r1,math,10,11,0.5660827453481837,0.5660827453481837,tok_conf_prefix::rank;tok_conf_recency::rank;tok_conf_recency::raw;tok_conf_prefix::raw;tok_gini_slope::raw,traj_reflection_count::rank;tok_logprob_recency::rank;tok_logprob_prefix::rank;traj_continuity::rank;tok_gini_prefix::rank,confidence,0.3599463198618129,confidence(↑)
es_svd_ms_rr_r1,math,10,12,0.19256737408971292,0.19256737408971292,tok_gini_slope::rank;traj_late_convergence::rank;tok_gini_tail::rank;tok_conf_recency::rank;tok_conf_prefix::raw,tok_gini_slope::raw;tok_gini_tail::raw;traj_late_convergence::raw;tok_logprob_prefix::rank;tok_gini_prefix::rank,uncertainty,0.5849205071731861,uncertainty(↓)
es_svd_ms_rr_r1,math,10,13,0.003972564723650074,0.003972564723650074,traj_reflection_count::rank;traj_max_reflection::rank;tok_logprob_recency::rank;tok_logprob_prefix::rank;tok_gini_slope::rank,traj_novelty::rank;traj_continuity::rank;traj_continuity::raw;traj_novelty::raw;tok_gini_slope::raw,trajectory,0.7891954931977208,trajectory(↓)
es_svd_ms_rr_r1,math,10,14,0.7104601934769942,0.7104601934769942,tok_neg_entropy_prefix::rank;tok_selfcert_prefix::rank;tok_gini_prefix::rank;tok_selfcert_recency::rank;tok_neg_entropy_recency::rank,tok_logprob_prefix::rank;tok_logprob_recency::rank;tok_logprob_recency::raw;tok_logprob_prefix::raw;traj_continuity::rank,self_cert_logprob,0.548890332941932,self_cert_logprob(↓)
