dataset,label,metric,series,mean_spearman,n_runs
aime24,correct,conf,abs_d1,-0.08613366871513077,1447
aime24,correct,conf,abs_d2,-0.06731138491080321,1447
aime24,correct,conf,avg,0.3414233150384863,1447
aime24,correct,conf,d1,0.21724101242573257,1447
aime24,correct,conf,d2,0.08971343251266226,1447
aime24,correct,entropy,abs_d1,-0.12965586779787663,1447
aime24,correct,entropy,abs_d2,-0.09892707525347556,1447
aime24,correct,entropy,avg,-0.4267289652695877,1447
aime24,correct,entropy,d1,-0.21899753113645606,1447
aime24,correct,entropy,d2,-0.09651010524061515,1447
aime24,correct,gini,abs_d1,-0.11673004985140946,1447
aime24,correct,gini,abs_d2,-0.09077377149051512,1447
aime24,correct,gini,avg,0.437018191077725,1447
aime24,correct,gini,d1,0.22012785393719098,1447
aime24,correct,gini,d2,0.0959315362486628,1447
aime24,incorrect,conf,abs_d1,-0.08788406108718431,473
aime24,incorrect,conf,abs_d2,-0.07197809712041736,473
aime24,incorrect,conf,avg,0.22063505012777673,473
aime24,incorrect,conf,d1,0.14620778884032462,473
aime24,incorrect,conf,d2,0.059838937007482475,473
aime24,incorrect,entropy,abs_d1,-0.10174151685449521,473
aime24,incorrect,entropy,abs_d2,-0.08097183551613224,473
aime24,incorrect,entropy,avg,-0.34285004435695376,473
aime24,incorrect,entropy,d1,-0.16596315285068078,473
aime24,incorrect,entropy,d2,-0.07406670865536889,473
aime24,incorrect,gini,abs_d1,-0.09139600482388506,473
aime24,incorrect,gini,abs_d2,-0.07303065681897805,473
aime24,incorrect,gini,avg,0.35877842510709024,473
aime24,incorrect,gini,d1,0.16994070666664757,473
aime24,incorrect,gini,d2,0.07480670972262428,473
aime25,correct,conf,abs_d1,-0.05777615729206674,1262
aime25,correct,conf,abs_d2,-0.048682149696971024,1262
aime25,correct,conf,avg,0.29713153148727234,1262
aime25,correct,conf,d1,0.18411812155737436,1262
aime25,correct,conf,d2,0.07305139441603883,1262
aime25,correct,entropy,abs_d1,-0.10560923518804823,1262
aime25,correct,entropy,abs_d2,-0.09135172873578663,1262
aime25,correct,entropy,avg,-0.40198400277339935,1262
aime25,correct,entropy,d1,-0.2033245725402493,1262
aime25,correct,entropy,d2,-0.08599177785680186,1262
aime25,correct,gini,abs_d1,-0.09265535129828516,1262
aime25,correct,gini,abs_d2,-0.0806961681645087,1262
aime25,correct,gini,avg,0.40396947242169157,1262
aime25,correct,gini,d1,0.20420959245521922,1262
aime25,correct,gini,d2,0.08564208165242292,1262
aime25,incorrect,conf,abs_d1,-0.08621337107711408,658
aime25,incorrect,conf,abs_d2,-0.0678370283384939,658
aime25,incorrect,conf,avg,0.3081161313462947,658
aime25,incorrect,conf,d1,0.17668907541639697,658
aime25,incorrect,conf,d2,0.07405127908340255,658
aime25,incorrect,entropy,abs_d1,-0.1375015024598948,658
aime25,incorrect,entropy,abs_d2,-0.11506787824974334,658
aime25,incorrect,entropy,avg,-0.4465742668739594,658
aime25,incorrect,entropy,d1,-0.20360998076818218,658
aime25,incorrect,entropy,d2,-0.0926293734217974,658
aime25,incorrect,gini,abs_d1,-0.12206050384695444,658
aime25,incorrect,gini,abs_d2,-0.10201195607820285,658
aime25,incorrect,gini,avg,0.44747759131172093,658
aime25,incorrect,gini,d1,0.20437866057764778,658
aime25,incorrect,gini,d2,0.09152125669278911,658
brumo25,correct,conf,abs_d1,-0.08253800878454053,1333
brumo25,correct,conf,abs_d2,-0.06904434713650608,1333
brumo25,correct,conf,avg,0.3371992530396168,1333
brumo25,correct,conf,d1,0.19327007581488015,1333
brumo25,correct,conf,d2,0.07272112081090859,1333
brumo25,correct,entropy,abs_d1,-0.14501921999424935,1333
brumo25,correct,entropy,abs_d2,-0.12276828917513276,1333
brumo25,correct,entropy,avg,-0.45055735956356124,1333
brumo25,correct,entropy,d1,-0.21385355118757501,1333
brumo25,correct,entropy,d2,-0.08938080353284869,1333
brumo25,correct,gini,abs_d1,-0.1304379428129121,1333
brumo25,correct,gini,abs_d2,-0.11006124032482525,1333
brumo25,correct,gini,avg,0.4530623027203403,1333
brumo25,correct,gini,d1,0.21455793537774015,1333
brumo25,correct,gini,d2,0.0882290980817751,1333
brumo25,incorrect,conf,abs_d1,-0.08068713976648528,587
brumo25,incorrect,conf,abs_d2,-0.06443406012287052,587
brumo25,incorrect,conf,avg,0.34510760653271494,587
brumo25,incorrect,conf,d1,0.18154166660747822,587
brumo25,incorrect,conf,d2,0.07351337134982225,587
brumo25,incorrect,entropy,abs_d1,-0.1462167679727336,587
brumo25,incorrect,entropy,abs_d2,-0.12234804312278212,587
brumo25,incorrect,entropy,avg,-0.4895498576150464,587
brumo25,incorrect,entropy,d1,-0.20706372470698825,587
brumo25,incorrect,entropy,d2,-0.09138985788295917,587
brumo25,incorrect,gini,abs_d1,-0.12759457918543232,587
brumo25,incorrect,gini,abs_d2,-0.10646284838106806,587
brumo25,incorrect,gini,avg,0.4911498399702868,587
