condition,position,n_feat,auroc,pairwise_acc,hit@1
oracle_rank_bound,0.7,47,nan,0.1481828010645376,0.8263473053892215
response_length_proxy,0.7,1,0.44682137477365114,0.4897658745319474,0.6948717948717948
token_only_logistic,0.7,16,0.4671018939959895,0.510669789093231,0.7492307692307693
fixed_22_logistic,0.7,22,0.4952854085346621,0.512343090877877,0.6994871794871795
full_logistic,0.7,47,0.4952854085346621,0.512343090877877,0.6994871794871795
fixed_22_pairwise,0.7,22,0.4907725505537643,0.4709802330218297,0.716923076923077
full_pairwise,0.7,47,0.490772740195531,0.4709802330218297,0.716923076923077
oracle_rank_bound,1.0,47,nan,0.1481828010645376,0.8263473053892215
response_length_proxy,1.0,1,0.45321204700569007,0.4899680881604847,0.7138461538461538
token_only_logistic,1.0,16,0.4570630816475713,0.5130332505270478,0.7358974358974358
fixed_22_logistic,1.0,22,0.4962805353936332,0.5069526142059787,0.7435897435897436
full_logistic,1.0,47,0.4962805353936332,0.5069526142059787,0.7435897435897436
fixed_22_pairwise,1.0,22,0.49639031292448427,0.48416502038025183,0.6774358974358975
full_pairwise,1.0,47,0.49639031292448427,0.48416502038025183,0.6774358974358975
