family,condition,metric,mean,std,n_folds_valid,n_folds_degenerate,n_samples,n_groups
tok_conf_only,no_svd,auroc,0.4527,0.0396,5,0,10688,167
tok_conf_only,no_svd,balanced_acc,0.5031,0.0000,5,0,10688,167
tok_conf_only,no_svd,stop_acc,0.5695,0.0000,5,0,10688,167
tok_conf_only,svd_r12,auroc,0.4527,0.0396,5,0,10688,167
tok_conf_only,svd_r12,balanced_acc,0.5031,0.0000,5,0,10688,167
tok_conf_only,svd_r12,stop_acc,0.5695,0.0000,5,0,10688,167
token_uncertainty,no_svd,auroc,0.4563,0.0566,5,0,10688,167
token_uncertainty,no_svd,balanced_acc,0.4988,0.0000,5,0,10688,167
token_uncertainty,no_svd,stop_acc,0.5686,0.0000,5,0,10688,167
token_uncertainty,svd_r12,auroc,0.4563,0.0566,5,0,10688,167
token_uncertainty,svd_r12,balanced_acc,0.4988,0.0000,5,0,10688,167
token_uncertainty,svd_r12,stop_acc,0.5686,0.0000,5,0,10688,167
token_only,no_svd,auroc,0.4686,0.0941,5,0,10688,167
token_only,no_svd,balanced_acc,0.4936,0.0000,5,0,10688,167
token_only,no_svd,stop_acc,0.5749,0.0000,5,0,10688,167
token_only,svd_r12,auroc,0.4705,0.0929,5,0,10688,167
token_only,svd_r12,balanced_acc,0.4958,0.0000,5,0,10688,167
token_only,svd_r12,stop_acc,0.5866,0.0000,5,0,10688,167
traj_only,no_svd,auroc,0.5094,0.0684,5,0,10688,167
traj_only,no_svd,balanced_acc,0.5018,0.0000,5,0,10688,167
traj_only,no_svd,stop_acc,0.5456,0.0000,5,0,10688,167
traj_only,svd_r12,auroc,0.5094,0.0684,5,0,10688,167
traj_only,svd_r12,balanced_acc,0.5021,0.0000,5,0,10688,167
traj_only,svd_r12,stop_acc,0.5456,0.0000,5,0,10688,167
token_plus_traj,no_svd,auroc,0.4910,0.0810,5,0,10688,167
token_plus_traj,no_svd,balanced_acc,0.4943,0.0000,5,0,10688,167
token_plus_traj,no_svd,stop_acc,0.5697,0.0000,5,0,10688,167
token_plus_traj,svd_r12,auroc,0.5012,0.0839,5,0,10688,167
token_plus_traj,svd_r12,balanced_acc,0.5035,0.0000,5,0,10688,167
token_plus_traj,svd_r12,stop_acc,0.5936,0.0000,5,0,10688,167
prefix_local,no_svd,auroc,0.4775,0.0649,5,0,10688,167
prefix_local,no_svd,balanced_acc,0.5000,0.0000,5,0,10688,167
prefix_local,no_svd,stop_acc,0.5932,0.0000,5,0,10688,167
prefix_local,svd_r12,auroc,0.4775,0.0649,5,0,10688,167
prefix_local,svd_r12,balanced_acc,0.5000,0.0000,5,0,10688,167
prefix_local,svd_r12,stop_acc,0.5932,0.0000,5,0,10688,167
all_30,no_svd,auroc,0.5058,0.0743,5,0,10688,167
all_30,no_svd,balanced_acc,0.5153,0.0000,5,0,10688,167
all_30,no_svd,stop_acc,0.5934,0.0000,5,0,10688,167
all_30,svd_r12,auroc,0.5001,0.0893,5,0,10688,167
all_30,svd_r12,balanced_acc,0.5033,0.0000,5,0,10688,167
all_30,svd_r12,stop_acc,0.5458,0.0000,5,0,10688,167
