protocol,seed_or_iter,fold,n_train_groups,n_test_groups,n_test_pos,n_test_neg,is_single_class,auroc,balanced_acc
repeated_gkf,0,0,133,34,1223,953,False,0.5323,0.5171
repeated_gkf,0,1,133,34,1024,1152,False,0.5271,0.4901
repeated_gkf,0,2,134,33,1563,549,False,0.5476,0.5333
repeated_gkf,0,3,134,33,1276,836,False,0.4634,0.5243
repeated_gkf,0,4,134,33,1187,925,False,0.5804,0.5260
repeated_gkf,1,0,133,34,1094,1082,False,0.5150,0.5161
repeated_gkf,1,1,133,34,1665,511,False,0.4917,0.5032
repeated_gkf,1,2,134,33,1094,1018,False,0.5043,0.4727
repeated_gkf,1,3,134,33,1191,921,False,0.5797,0.5437
repeated_gkf,1,4,134,33,1229,883,False,0.5764,0.5022
repeated_gkf,2,0,133,34,1185,991,False,0.4836,0.5069
repeated_gkf,2,1,133,34,1311,865,False,0.4665,0.4682
repeated_gkf,2,2,134,33,1209,903,False,0.5316,0.5408
repeated_gkf,2,3,134,33,1336,776,False,0.4378,0.4860
repeated_gkf,2,4,134,33,1232,880,False,0.5251,0.4843
repeated_gkf,3,0,133,34,1181,995,False,0.5352,0.5081
repeated_gkf,3,1,133,34,1454,722,False,0.4277,0.4316
repeated_gkf,3,2,134,33,1204,908,False,0.4801,0.5075
repeated_gkf,3,3,134,33,1303,809,False,0.4816,0.4936
repeated_gkf,3,4,134,33,1131,981,False,0.5476,0.5161
repeated_gkf,4,0,133,34,1195,981,False,0.5251,0.5375
repeated_gkf,4,1,133,34,1488,688,False,0.4525,0.4892
repeated_gkf,4,2,134,33,1167,945,False,0.5691,0.5481
repeated_gkf,4,3,134,33,1244,868,False,0.5742,0.5089
repeated_gkf,4,4,134,33,1179,933,False,0.5154,0.4691
repeated_gkf,5,0,133,34,1273,903,False,0.5120,0.4990
repeated_gkf,5,1,133,34,1380,796,False,0.5902,0.5244
repeated_gkf,5,2,134,33,945,1167,False,0.4079,0.5046
repeated_gkf,5,3,134,33,1226,886,False,0.4928,0.5080
repeated_gkf,5,4,134,33,1449,663,False,0.4449,0.4366
repeated_gkf,6,0,133,34,1402,774,False,0.5579,0.5499
repeated_gkf,6,1,133,34,1110,1066,False,0.4311,0.4756
repeated_gkf,6,2,134,33,1267,845,False,0.5712,0.5319
repeated_gkf,6,3,134,33,1253,859,False,0.4973,0.5145
