signal,scorer,n_feat,auroc,pairwise_acc,hit@1
code_v2_base,precomp,1,0.503,0.51,0.7464
feat_traj22_100,lr,22,0.493,0.5066,0.7391
allpos_xgb_64seeds,xgb,564,0.5,0.478,0.7464
allpos_xgb_best3seeds,xgb,564,0.5195,0.5073,0.7754
layer_late_nactive,gb,11,0.4365,0.4838,0.7246
ssl_score_r16,ssl,1,0.4812,0.5112,0.7101
ssl_medoid_r16,ssl,1,0.4973,0.5189,0.7029
static_code_29,gb,29,0.5349,0.4889,0.6884
feat_traj22_070,lr,22,0.4936,0.5109,0.6957
feat_full47_100,gb,47,0.501,0.4875,0.6884
slot100_ds_r1,lr,17,0.5194,0.4899,0.6812
slot100_qwen3,lr,17,0.4662,0.5033,0.6739
slot100_cross_model,lr,34,0.5076,0.4919,0.6449
layer_all_108,gb,108,0.4575,0.4937,0.6522
lgbm_allpos,lgbm,564,nan,nan,0.7246
extratrees_allpos,et,564,nan,nan,0.7029
rank_pairwise,xgb_rank,564,nan,nan,0.7174
rank_ndcg,xgb_rank,564,nan,nan,0.7174
borda_cv2_t22,borda,2,nan,nan,0.6957
majority_vote_3sig,vote,3,nan,nan,0.7754
oracle_union_cv2_xgb,oracle,2,nan,nan,0.8478
