condition,objective,position,n_feat,auroc,pairwise_acc,hit@1
direct_pairwise_22,pairwise,0.7,22,0.4907725505537643,0.4709802330218297,0.716923076923077
direct_pairwise_22,pairwise,0.8,22,0.492281732884636,0.4807703358204586,0.726153846153846
direct_pairwise_22,pairwise,0.9,22,0.4968008992988528,0.49293802198349096,0.6594871794871795
direct_pairwise_22,pairwise,1.0,22,0.49639031292448427,0.48416502038025183,0.6774358974358975
direct_pairwise_22,pairwise,late_mean,22,0.4940613739154343,0.48221340280150776,0.695
direct_pairwise_full,pairwise,0.7,47,0.490772740195531,0.4709802330218297,0.716923076923077
direct_pairwise_full,pairwise,1.0,47,0.49639031292448427,0.48416502038025183,0.6774358974358975
direct_pairwise_full,pairwise,late_mean,47,0.49358152656000764,0.4775726267010407,0.6971794871794872
direct_pointwise_22,pointwise,0.7,22,0.4952854085346621,0.512343090877877,0.6994871794871795
direct_pointwise_22,pointwise,1.0,22,0.4962805353936332,0.5069526142059787,0.7435897435897436
direct_pointwise_22,pointwise,late_mean,22,0.49578297196414767,0.5096478525419279,0.7215384615384616
direct_pointwise_full,pointwise,0.7,47,0.4952854085346621,0.512343090877877,0.6994871794871795
direct_pointwise_full,pointwise,1.0,47,0.4962805353936332,0.5069526142059787,0.7435897435897436
direct_pointwise_full,pointwise,late_mean,47,0.49578297196414767,0.5096478525419279,0.7215384615384616
