problem_id,n_solutions,n_correct,pass_rate,selected_sample_id,selected_score,selected_correct
livecodebench_v5-0,64,24,0.375,51,0.8663,True
livecodebench_v5-1,64,62,0.969,74,0.8614,True
livecodebench_v5-10,64,64,1.0,651,0.9099,True
livecodebench_v5-100,64,58,0.906,6429,0.8612,True
livecodebench_v5-101,64,4,0.062,6498,0.7509,True
livecodebench_v5-102,64,27,0.422,6559,0.8385,True
livecodebench_v5-103,64,4,0.062,6593,0.7342,True
livecodebench_v5-104,64,64,1.0,6676,0.8978,True
livecodebench_v5-105,64,64,1.0,6722,0.8166,True
livecodebench_v5-106,64,62,0.969,6800,0.8896,True
livecodebench_v5-107,64,46,0.719,6860,0.8817,True
livecodebench_v5-108,64,40,0.625,6966,0.8855,True
livecodebench_v5-109,64,48,0.75,7020,0.8896,True
livecodebench_v5-11,64,64,1.0,755,0.908,True
livecodebench_v5-111,64,63,0.984,7147,0.9296,True
livecodebench_v5-112,64,63,0.984,7184,0.9291,True
livecodebench_v5-113,64,63,0.984,7266,0.8757,True
livecodebench_v5-114,64,25,0.391,7349,0.7284,True
livecodebench_v5-115,64,39,0.609,7414,0.8115,True
livecodebench_v5-116,64,64,1.0,7472,0.8734,True
livecodebench_v5-117,64,64,1.0,7508,0.897,True
livecodebench_v5-118,64,62,0.969,7607,0.9049,True
livecodebench_v5-119,64,46,0.719,7631,0.8378,True
livecodebench_v5-12,64,20,0.312,804,0.7203,True
livecodebench_v5-120,64,29,0.453,7714,0.8334,True
livecodebench_v5-122,64,64,1.0,7809,0.8785,True
livecodebench_v5-123,64,64,1.0,7877,0.8654,True
livecodebench_v5-124,64,59,0.922,7968,0.8876,True
livecodebench_v5-125,64,61,0.953,8026,0.8949,True
livecodebench_v5-126,64,18,0.281,8081,0.7798,True
livecodebench_v5-127,64,63,0.984,8134,0.8747,True
livecodebench_v5-128,64,64,1.0,8253,0.8703,True
livecodebench_v5-129,64,63,0.984,8294,0.9602,True
livecodebench_v5-13,64,58,0.906,887,0.8796,True
livecodebench_v5-130,64,43,0.672,8344,0.8778,True
livecodebench_v5-131,64,10,0.156,8419,0.7711,True
livecodebench_v5-132,64,28,0.438,8490,0.807,True
livecodebench_v5-133,64,48,0.75,8554,0.866,True
livecodebench_v5-134,64,63,0.984,8582,0.9423,True
livecodebench_v5-135,64,63,0.984,8642,0.9688,True
livecodebench_v5-136,64,60,0.938,8724,0.9212,True
livecodebench_v5-137,64,57,0.891,8770,0.9233,True
livecodebench_v5-138,64,33,0.516,8854,0.7965,True
livecodebench_v5-14,64,64,1.0,903,0.9247,True
livecodebench_v5-140,64,64,1.0,8986,0.8385,True
livecodebench_v5-141,64,64,1.0,9055,0.9151,True
livecodebench_v5-142,64,62,0.969,9115,0.8917,True
livecodebench_v5-143,64,2,0.031,9173,0.7402,False
livecodebench_v5-144,64,58,0.906,9226,0.805,True
livecodebench_v5-145,64,36,0.562,9322,0.8327,True
livecodebench_v5-148,64,1,0.016,9498,0.7775,True
livecodebench_v5-15,64,63,0.984,1017,0.8859,True
livecodebench_v5-152,64,54,0.844,9743,0.9177,True
livecodebench_v5-16,64,5,0.078,1046,0.6216,True
livecodebench_v5-160,64,1,0.016,10299,0.7966,True
livecodebench_v5-162,64,22,0.344,10380,0.7927,True
livecodebench_v5-165,64,12,0.188,10607,0.8267,True
livecodebench_v5-166,64,8,0.125,10679,0.8241,True
livecodebench_v5-17,64,64,1.0,1109,0.9499,True
livecodebench_v5-18,64,18,0.281,1161,0.8266,True
livecodebench_v5-19,64,63,0.984,1217,0.8674,True
livecodebench_v5-2,64,9,0.141,157,0.7116,True
livecodebench_v5-20,64,64,1.0,1305,0.9212,True
livecodebench_v5-21,64,52,0.812,1349,0.8986,True
livecodebench_v5-22,64,63,0.984,1440,0.91,True
livecodebench_v5-23,64,64,1.0,1500,0.9378,True
