row_kind,domain,model_name,display_name,representation,anchor_pct,id_auc_of_auroc,id_auc_of_selacc,id_auroc_at_100,id_stop_acc_at_100,holdout_anchor_auroc,holdout_anchor_group_top1,cv_mean_auroc,n_valid_scores,best_c,best_class_weight,best_penalty,best_l1_ratio,solver,fit_seed,seed_count_used,n_train_samples,n_holdout_samples,n_holdout_groups,active_dims,top_positive_features,top_negative_features,top_base_features,top_families,sparse_zero_fraction,ood_protocol,ood_fold_count,ood_macro_auc_of_auroc,ood_macro_auc_of_selacc,ood_macro_auroc_at_100,ood_macro_stop_acc_at_100,abs_gap_auc_of_auroc,abs_gap_auroc_at_100,svd_reference_method,svd_reference_id_auc_of_auroc,svd_reference_id_auroc_at_100,delta_vs_svd_id_auc_of_auroc,delta_vs_svd_id_auroc_at_100
id_summary,math,lr_raw,Logistic Regression (raw),raw,,0.953251433681315,0.9989010989010989,0.9781929747208009,0.75,nan,nan,0.9438856879306604,12,10%:1.00; 40%:10.00; 70%:10.00; 100%:10.00,10%:none; 40%:none; 70%:none; 100%:none,l2,,lbfgs,10%:42; 40%:42; 70%:42; 100%:42,1,10%:11648; 40%:11648; 70%:11648; 100%:11648,1792,28,16,tok_neg_entropy_prefix:4; tok_selfcert_prefix:4; tok_conf_recency:3; tok_neg_entropy_recency:3; tok_selfcert_recency:3,tok_gini_prefix:4; tok_logprob_prefix:4; tok_logprob_recency:4; traj_novelty:4; tok_gini_slope:2,traj_novelty:429.7971; tok_gini_prefix:168.8010; tok_logprob_prefix:114.1695; tok_logprob_recency:94.0684; tok_selfcert_prefix:61.4753,trajectory:454.0888; self_cert_logprob:296.8113; uncertainty:284.3586; confidence:31.3180; availability_meta:0.0000,0.2727272727272727,,,nan,nan,nan,nan,nan,nan,es_svd_math_rr_r1,0.9581,0.9817,-0.00484856631868491,-0.0035070252791991052
id_summary,math,lr_rank,Logistic Regression (rank),rank,,0.5891858682955685,0.9021978021978023,0.6148216817888478,0.7857142857142857,nan,nan,0.6130329232113746,12,10%:0.10; 40%:0.10; 70%:0.10; 100%:1.00,10%:balanced; 40%:balanced; 70%:balanced; 100%:balanced,l2,,lbfgs,10%:42; 40%:42; 70%:42; 100%:42,1,10%:11648; 40%:11648; 70%:11648; 100%:11648,1792,28,22,traj_continuity:4; traj_reflection_count:4; tok_conf_prefix:2; tok_conf_recency:2; tok_logprob_recency:2,tok_gini_prefix:4; tok_gini_slope:3; traj_novelty:3; tok_logprob_prefix:2; traj_late_convergence:2,tok_conf_recency:4.9844; traj_reflection_count:4.2302; tok_conf_prefix:3.7987; tok_gini_prefix:2.5689; traj_continuity:1.7675,confidence:8.7831; trajectory:8.5929; uncertainty:4.3942; self_cert_logprob:2.4994; availability_meta:0.3736,0.0,,,nan,nan,nan,nan,nan,nan,es_svd_math_rr_r1,0.9581,0.9817,-0.36891413170443144,-0.36687831821115224
id_summary,math,lr_raw_rank,Logistic Regression (raw+rank),raw+rank,,0.9592079146956426,0.9972527472527473,0.9832009146822439,0.75,nan,nan,0.9497492013830336,12,10%:1.00; 40%:1.00; 70%:10.00; 100%:10.00,10%:none; 40%:none; 70%:none; 100%:none,l2,,lbfgs,10%:42; 40%:42; 70%:42; 100%:42,1,10%:11648; 40%:11648; 70%:11648; 100%:11648,1792,28,38,tok_neg_entropy_prefix:4; tok_selfcert_prefix:4; tok_neg_entropy_recency:3; tok_selfcert_recency:3; tok_conf_recency:2,tok_logprob_prefix:4; tok_logprob_recency:4; traj_novelty:4; tok_gini_prefix:3; tok_gini_slope:2,traj_novelty:504.5678; tok_gini_prefix:157.7929; tok_logprob_prefix:151.2429; tok_logprob_recency:117.4078; tok_selfcert_prefix:49.7693,trajectory:569.6068; self_cert_logprob:362.3249; uncertainty:303.7649; confidence:58.2833; availability_meta:1.9401,0.13636363636363635,,,nan,nan,nan,nan,nan,nan,es_svd_math_rr_r1,0.9581,0.9817,0.0011079146956426422,0.0015009146822438924
id_summary,math,elasticnet_lr_raw_rank,Elastic-Net Logistic Regression (raw+rank),raw+rank,,0.9592879464670017,0.9972527472527473,0.9828612593095201,0.75,nan,nan,0.9502117162098038,36,10%:1.00; 40%:1.00; 70%:10.00; 100%:10.00,10%:none; 40%:none; 70%:none; 100%:none,elasticnet,10%:0.9; 40%:0.9; 70%:0.9; 100%:0.9,saga,10%:42; 40%:42; 70%:42; 100%:42,3,10%:11648; 40%:11648; 70%:11648; 100%:11648,1792,28,36,tok_neg_entropy_prefix:4; tok_selfcert_prefix:4; tok_conf_recency:3; traj_novelty:3; tok_logprob_prefix:2,tok_logprob_recency:4; traj_novelty:4; tok_gini_prefix:2; tok_logprob_prefix:2; traj_continuity:2,traj_novelty:514.6178; tok_gini_prefix:171.1080; tok_logprob_recency:170.7635; tok_selfcert_prefix:130.1013; tok_neg_entropy_prefix:130.1013,trajectory:584.4771; self_cert_logprob:438.8272; uncertainty:387.6278; confidence:85.1512; availability_meta:1.7926,0.1875,,,nan,nan,nan,nan,nan,nan,es_svd_math_rr_r1,0.9581,0.9817,0.0011879464670017104,0.0011612593095200463
id_summary,math,l1_lr_raw_rank,L1 Logistic Regression (raw+rank),raw+rank,,0.9592719603920653,0.9978021978021978,0.9826123830195164,0.75,nan,nan,0.9503017619122953,36,10%:0.10; 40%:1.00; 70%:10.00; 100%:10.00,10%:balanced; 40%:none; 70%:none; 100%:none,l1,,saga,10%:42; 40%:42; 70%:42; 100%:42,3,10%:11648; 40%:11648; 70%:11648; 100%:11648,1792,28,32,tok_neg_entropy_prefix:4; tok_selfcert_prefix:4; tok_conf_recency:3; traj_novelty:3; tok_logprob_prefix:2,traj_novelty:4; tok_logprob_recency:3; tok_gini_prefix:2; tok_logprob_prefix:2; tok_neg_entropy_recency:2,traj_novelty:500.2654; tok_logprob_recency:174.2039; tok_gini_prefix:167.4560; tok_selfcert_prefix:151.6402; tok_neg_entropy_prefix:151.6402,trajectory:562.1324; self_cert_logprob:475.5131; uncertainty:421.7616; confidence:91.0631; availability_meta:1.3272,0.26136363636363635,,,nan,nan,nan,nan,nan,nan,es_svd_math_rr_r1,0.9581,0.9817,0.001171960392065352,0.0009123830195163496
id_summary,math,linear_svm_raw_rank,Linear SVM (raw+rank),raw+rank,,0.9590187392105586,0.9972527472527473,0.9823822731451025,0.75,nan,nan,0.9498102231224257,12,10%:0.10; 40%:10.00; 70%:10.00; 100%:10.00,10%:none; 40%:none; 70%:none; 100%:none,l2,,linear_svc,10%:42; 40%:42; 70%:42; 100%:42,1,10%:11648; 40%:11648; 70%:11648; 100%:11648,1792,28,38,tok_conf_recency:4; tok_neg_entropy_prefix:4; tok_selfcert_prefix:4; tok_gini_slope:2; tok_logprob_recency:2,traj_novelty:4; tok_gini_prefix:3; tok_logprob_prefix:3; tok_neg_entropy_recency:3; tok_selfcert_recency:3,traj_novelty:164.2979; tok_selfcert_prefix:137.2027; tok_neg_entropy_prefix:137.2027; tok_logprob_prefix:107.7544; tok_selfcert_recency:102.3553,self_cert_logprob:397.3685; uncertainty:317.2868; trajectory:189.6247; confidence:41.6968; availability_meta:0.6293,0.13636363636363635,,,nan,nan,nan,nan,nan,nan,es_svd_math_rr_r1,0.9581,0.9817,0.0009187392105586278,0.0006822731451024966
anchor_route,math,lr_raw,Logistic Regression (raw),raw,10,nan,nan,nan,nan,0.9180340765406246,0.8125,0.9060884248869172,3,1.0,none,l2,,lbfgs,42,1,11648,1792,16,16,tok_selfcert_prefix::raw:7.0197; tok_neg_entropy_prefix::raw:7.0197; traj_max_reflection::raw:2.3046; tok_conf_recency::raw:0.4361; tok_gini_tail::raw:0.3130,traj_novelty::raw:-87.7942; tok_logprob_recency::raw:-21.8102; tok_gini_prefix::raw:-5.9274; tok_logprob_prefix::raw:-1.1004; tok_selfcert_recency::raw:-0.7055,traj_novelty:87.7942; tok_logprob_recency:21.8102; tok_selfcert_prefix:7.0197; tok_neg_entropy_prefix:7.0197; tok_gini_prefix:5.9274,trajectory:91.1360; self_cert_logprob:30.6358; uncertainty:14.0779; confidence:0.6611; availability_meta:0.0000,0.2727272727272727,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,lr_raw,Logistic Regression (raw),raw,40,nan,nan,nan,nan,0.9623719126001957,0.75,0.9492145747411757,3,10.0,none,l2,,lbfgs,42,1,11648,1792,16,16,tok_selfcert_prefix::raw:9.2001; tok_neg_entropy_prefix::raw:9.2001; tok_neg_entropy_recency::raw:8.0341; tok_selfcert_recency::raw:8.0341; traj_max_reflection::raw:1.7992,traj_novelty::raw:-132.7618; tok_gini_prefix::raw:-35.1342; tok_logprob_prefix::raw:-24.3226; tok_logprob_recency::raw:-21.9797; traj_continuity::raw:-12.4829,traj_novelty:132.7618; tok_gini_prefix:35.1342; tok_logprob_prefix:24.3226; tok_logprob_recency:21.9797; traj_continuity:12.4829,trajectory:147.2711; self_cert_logprob:63.5366; uncertainty:54.8254; confidence:1.4280; availability_meta:0.0000,0.2727272727272727,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,lr_raw,Logistic Regression (raw),raw,70,nan,nan,nan,nan,0.969482157875766,0.75,0.9570737228771553,3,10.0,none,l2,,lbfgs,42,1,11648,1792,16,16,tok_selfcert_prefix::raw:14.1494; tok_neg_entropy_prefix::raw:14.1494; tok_selfcert_recency::raw:13.6610; tok_neg_entropy_recency::raw:13.6610; tok_conf_recency::raw:5.4855,traj_novelty::raw:-113.8003; tok_gini_prefix::raw:-59.9836; tok_logprob_prefix::raw:-54.1451; tok_gini_slope::raw:-10.4657; tok_logprob_recency::raw:-6.9188,traj_novelty:113.8003; tok_gini_prefix:59.9836; tok_logprob_prefix:54.1451; tok_selfcert_prefix:14.1494; tok_neg_entropy_prefix:14.1494,trajectory:118.1604; uncertainty:98.8538; self_cert_logprob:88.8744; confidence:9.4209; availability_meta:0.0000,0.2727272727272727,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
anchor_route,math,lr_raw,Logistic Regression (raw),raw,100,nan,nan,nan,nan,0.97686416871206,0.8125,0.9631660292173937,3,10.0,none,l2,,lbfgs,42,1,11648,1792,16,16,tok_neg_entropy_prefix::raw:31.1061; tok_selfcert_prefix::raw:31.1061; tok_conf_recency::raw:10.7681; tok_neg_entropy_recency::raw:4.6974; tok_selfcert_recency::raw:4.6974,traj_novelty::raw:-95.4408; tok_gini_prefix::raw:-67.7559; tok_logprob_recency::raw:-43.3597; tok_logprob_prefix::raw:-34.6013; tok_gini_slope::raw:-11.2919,traj_novelty:95.4408; tok_gini_prefix:67.7559; tok_logprob_recency:43.3597; tok_logprob_prefix:34.6013; tok_neg_entropy_prefix:31.1061,uncertainty:116.6015; self_cert_logprob:113.7645; trajectory:97.5213; confidence:19.8079; availability_meta:0.0000,0.2727272727272727,,,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan
