domain,condition,ssl_rank,label_fraction,n_labeled,auroc,top1_acc,auc_of_selacc
coding,no_svd_lr,-1,0.01,1,0.47533999646675706,0.48,0.40875000000000006
coding,shared_ssl_r16,16,0.01,1,0.4982504193771799,0.52,0.5175
coding,domain_ssl,4,0.01,1,0.5092327078242571,0.56,0.5356250000000001
coding,domain_ssl_weak,4,0.01,1,0.5093030600072852,0.56,0.5356249999999999
coding,domain_ssl,8,0.01,1,0.50395285465708,0.48,0.516875
coding,domain_ssl_weak,8,0.01,1,0.5034822767217133,0.48,0.516875
coding,domain_ssl,16,0.01,1,0.5044715847532749,0.48,0.531875
coding,domain_ssl_weak,16,0.01,1,0.5041893943302393,0.48,0.5293749999999999
coding,no_svd_lr,-1,0.05,7,0.5573340587425094,0.6,0.44000000000000006
coding,shared_ssl_r16,16,0.05,7,0.49818288128147287,0.52,0.516875
coding,domain_ssl,4,0.05,7,0.5054186814750194,0.56,0.5331250000000001
coding,domain_ssl_weak,4,0.05,7,0.5054175871077279,0.56,0.5312499999999999
coding,domain_ssl,8,0.05,7,0.5023628953206417,0.48,0.50125
coding,domain_ssl_weak,8,0.05,7,0.5025859899099336,0.48,0.49749999999999994
coding,domain_ssl,16,0.05,7,0.5002784383066073,0.48,0.531875
coding,domain_ssl_weak,16,0.05,7,0.5004755807572709,0.48,0.530625
coding,no_svd_lr,-1,0.1,14,0.5910913812322264,0.52,0.5331250000000001
coding,shared_ssl_r16,16,0.1,14,0.5040926209940294,0.52,0.51625
coding,domain_ssl,4,0.1,14,0.5016962693019031,0.64,0.516875
coding,domain_ssl_weak,4,0.1,14,0.5018402567698342,0.64,0.51875
coding,domain_ssl,8,0.1,14,0.5009100445720164,0.52,0.508125
coding,domain_ssl_weak,8,0.1,14,0.5013215266736394,0.52,0.505625
coding,domain_ssl,16,0.1,14,0.4944121606093438,0.56,0.49124999999999996
coding,domain_ssl_weak,16,0.1,14,0.49403476023194337,0.56,0.48687500000000006
coding,no_svd_lr,-1,0.2,28,0.5706173325891636,0.52,0.5018749999999998
coding,shared_ssl_r16,16,0.2,28,0.5055768957177407,0.52,0.5125
coding,domain_ssl,4,0.2,28,0.49783409079183727,0.4,0.5237499999999999
coding,domain_ssl_weak,4,0.2,28,0.49786270067960203,0.4,0.52625
coding,domain_ssl,8,0.2,28,0.4919850102948694,0.48,0.46812499999999996
coding,domain_ssl_weak,8,0.2,28,0.49176472979289876,0.48,0.465
coding,domain_ssl,16,0.2,28,0.4890603918772932,0.56,0.48375
coding,domain_ssl_weak,16,0.2,28,0.48932819918735415,0.56,0.48687500000000006
coding,no_svd_lr,-1,0.5,71,0.46718649113015315,0.56,0.35250000000000004
coding,shared_ssl_r16,16,0.5,71,0.5011334518376771,0.52,0.5287499999999999
coding,domain_ssl,4,0.5,71,0.502585208219011,0.48,0.5050000000000001
coding,domain_ssl_weak,4,0.5,71,0.5025256433707138,0.52,0.50625
coding,domain_ssl,8,0.5,71,0.49364125702153866,0.48,0.50375
coding,domain_ssl_weak,8,0.5,71,0.49233395712268957,0.48,0.49937499999999996
coding,domain_ssl,16,0.5,71,0.4900042054971633,0.56,0.488125
coding,domain_ssl_weak,16,0.5,71,0.49069068646533437,0.56,0.48562500000000003
coding,no_svd_lr,-1,1.0,142,0.4797179346475121,0.6,0.47250000000000003
coding,shared_ssl_r16,16,1.0,142,0.5019784597249386,0.52,0.526875
coding,domain_ssl,4,1.0,142,0.5093460530080248,0.52,0.5025000000000001
coding,domain_ssl_weak,4,1.0,142,0.5092858628069895,0.52,0.50125
coding,domain_ssl,8,1.0,142,0.4966909459867207,0.6,0.47874999999999995
coding,domain_ssl_weak,8,1.0,142,0.4959622537087326,0.56,0.4731249999999999
coding,domain_ssl,16,1.0,142,0.4950104668414528,0.4,0.47437499999999994
coding,domain_ssl_weak,16,1.0,142,0.4950792556426359,0.4,0.468125
science,no_svd_lr,-1,0.01,2,0.44218959912420913,0.6666666666666666,0.7145833333333333
science,frozen_svd,-1,0.01,2,0.5929611102632764,0.6666666666666666,0.8390625
science,shared_ssl_r16,16,0.01,2,0.41467580326297343,0.6166666666666667,0.6356770833333334
science,domain_ssl,4,0.01,2,0.6417340789143189,0.6499999999999999,0.7838541666666667
science,domain_ssl,8,0.01,2,0.6062744037537481,0.6833333333333333,0.7609375
science,domain_ssl,16,0.01,2,0.6213875109468463,0.6833333333333333,0.76953125
science,no_svd_lr,-1,0.05,8,0.7894946877583349,0.6666666666666666,0.96796875
science,frozen_svd,-1,0.05,8,0.7518506631419163,0.7166666666666666,0.9588541666666666
science,shared_ssl_r16,16,0.05,8,0.734580457260157,0.7,0.9661458333333333
science,domain_ssl,4,0.05,8,0.7729331026410672,0.6166666666666667,0.915625
science,domain_ssl,8,0.05,8,0.738277775313211,0.7,0.8856770833333332
science,domain_ssl,16,0.05,8,0.7697576443171774,0.6166666666666667,0.88984375
science,no_svd_lr,-1,0.1,17,0.7961500628009586,0.7,0.97734375
science,frozen_svd,-1,0.1,17,0.7768822906948629,0.7166666666666666,0.9666666666666666
science,shared_ssl_r16,16,0.1,17,0.6735015666017619,0.7,0.95078125
science,domain_ssl,4,0.1,17,0.796559220446425,0.6499999999999999,0.9513020833333333
science,domain_ssl,8,0.1,17,0.7670685551044532,0.6833333333333333,0.9513020833333333
science,domain_ssl,16,0.1,17,0.809596558930276,0.6,0.9476562500000001
science,no_svd_lr,-1,0.2,34,0.8014380650077046,0.7,0.9783854166666666
science,frozen_svd,-1,0.2,34,0.7700019404617361,0.7,0.9755208333333332
science,shared_ssl_r16,16,0.2,34,0.7415582549929707,0.7166666666666666,0.9716145833333332
science,domain_ssl,4,0.2,34,0.8073135901560806,0.6499999999999999,0.96484375
science,domain_ssl,8,0.2,34,0.7785896114142958,0.6833333333333333,0.96796875
science,domain_ssl,16,0.2,34,0.8288571032825776,0.6333333333333333,0.9531249999999999
science,no_svd_lr,-1,0.5,84,0.8161242285203857,0.7166666666666667,0.9807291666666667
science,frozen_svd,-1,0.5,84,0.7852865903759205,0.7,0.9776041666666667
science,shared_ssl_r16,16,0.5,84,0.7760216493612253,0.6833333333333333,0.9828125000000001
science,domain_ssl,4,0.5,84,0.8106168672599111,0.6499999999999999,0.9661458333333333
science,domain_ssl,8,0.5,84,0.783942544167531,0.6666666666666666,0.9609375
science,domain_ssl,16,0.5,84,0.8339820728530811,0.6333333333333333,0.95546875
science,no_svd_lr,-1,1.0,168,0.8320333293785878,0.7,0.98515625
science,frozen_svd,-1,1.0,168,0.7943518349746974,0.7333333333333334,0.9846354166666667
science,shared_ssl_r16,16,1.0,168,0.7876257206991766,0.6833333333333333,0.9872395833333334
science,domain_ssl,4,1.0,168,0.817528865695053,0.6499999999999999,0.9752604166666667
science,domain_ssl,8,1.0,168,0.7962421170653404,0.6833333333333333,0.9708333333333332
science,domain_ssl,16,1.0,168,0.8452218375442766,0.6666666666666666,0.96640625
math,no_svd_lr,-1,0.01,1,0.8823568156368493,0.75,0.9923076923076923
math,frozen_svd,-1,0.01,1,0.7222666812235448,0.75,0.9637362637362639
math,shared_ssl_r16,16,0.01,1,0.5503633714297461,0.7142857142857143,0.7642857142857142
math,domain_ssl,4,0.01,1,0.6985839568487328,0.75,0.9532967032967034
math,domain_ssl,8,0.01,1,0.5881453398992704,0.75,0.9456043956043957
math,domain_ssl,16,0.01,1,0.5897337446623755,0.75,0.9543956043956046
math,no_svd_lr,-1,0.05,5,0.9467630138657083,0.7142857142857143,0.9961538461538462
math,frozen_svd,-1,0.05,5,0.9395583186728719,0.7142857142857143,0.9961538461538462
math,shared_ssl_r16,16,0.05,5,0.6047259823829144,0.75,0.8428571428571431
math,domain_ssl,4,0.05,5,0.8866756932139782,0.7857142857142857,0.9807692307692308
math,domain_ssl,8,0.05,5,0.7582950960236658,0.75,0.9950549450549451
math,domain_ssl,16,0.05,5,0.762900384741284,0.75,0.9950549450549451
math,no_svd_lr,-1,0.1,10,0.950584680231201,0.7142857142857143,0.993956043956044
math,frozen_svd,-1,0.1,10,0.9449989836715563,0.7142857142857143,0.9912087912087912
math,shared_ssl_r16,16,0.1,10,0.6523114789596213,0.75,0.8824175824175825
math,domain_ssl,4,0.1,10,0.8796960904369662,0.7857142857142857,0.9840659340659341
math,domain_ssl,8,0.1,10,0.8843062220887343,0.75,0.9868131868131869
math,domain_ssl,16,0.1,10,0.8858833836763458,0.75,0.9857142857142858
math,no_svd_lr,-1,0.2,21,0.9553358525496511,0.7142857142857143,0.9967032967032967
math,frozen_svd,-1,0.2,21,0.9528937741995839,0.7142857142857143,0.9950549450549451
math,shared_ssl_r16,16,0.2,21,0.6708263934374346,0.75,0.9021978021978022
math,domain_ssl,4,0.2,21,0.8806530203594471,0.7857142857142857,0.9895604395604396
math,domain_ssl,8,0.2,21,0.8823822136596472,0.7857142857142857,0.9928571428571429
math,domain_ssl,16,0.2,21,0.8812080097094405,0.75,0.9912087912087912
math,no_svd_lr,-1,0.5,52,0.9589859806960545,0.7142857142857143,0.9978021978021978
math,frozen_svd,-1,0.5,52,0.9573868700475066,0.75,0.9972527472527473
math,shared_ssl_r16,16,0.5,52,0.7116642451489653,0.75,0.9318681318681319
math,domain_ssl,4,0.5,52,0.8760311111576378,0.7857142857142857,0.9934065934065934
math,domain_ssl,8,0.5,52,0.8719538462555103,0.75,0.993956043956044
math,domain_ssl,16,0.5,52,0.8688025496585322,0.7142857142857143,0.9917582417582418
math,no_svd_lr,-1,1.0,104,0.9594054966269313,0.7142857142857143,0.9972527472527473
math,frozen_svd,-1,1.0,104,0.9581976786133487,0.75,0.9978021978021978
math,shared_ssl_r16,16,1.0,104,0.7793676711059027,0.75,0.9554945054945055
math,domain_ssl,4,1.0,104,0.8855207621656904,0.7857142857142857,0.9857142857142857
math,domain_ssl,8,1.0,104,0.8803076544699141,0.7857142857142857,0.987912087912088
math,domain_ssl,16,1.0,104,0.8757305132323282,0.75,0.984065934065934
