domain,condition,ssl_rank,label_fraction,n_labeled,auroc,top1_acc,auc_of_selacc
math,no_svd_lr,-1,0.1,10,0.9506234866974018,0.75,0.9978021978021978
math,frozen_svd,-1,0.1,10,0.9459733981405438,0.7142857142857143,0.9934065934065934
math,shared_ssl_r16,16,0.1,10,0.6577269810121849,0.75,0.8928571428571429
math,domain_ssl,4,0.1,10,0.8768934272225747,0.75,0.989010989010989
math,domain_ssl,8,0.1,10,0.8357481038921967,0.7142857142857143,0.993956043956044
math,no_svd_lr,-1,0.5,52,0.9588653856829279,0.7142857142857143,0.9972527472527473
math,frozen_svd,-1,0.5,52,0.9568707025754344,0.75,0.9978021978021978
math,shared_ssl_r16,16,0.5,52,0.728268911928725,0.75,0.9423076923076924
math,domain_ssl,4,0.5,52,0.8856959619321403,0.7857142857142857,0.9857142857142858
math,domain_ssl,8,0.5,52,0.8734774734487886,0.7142857142857143,0.984065934065934
math,no_svd_lr,-1,1.0,104,0.9594054966269313,0.7142857142857143,0.9972527472527473
math,frozen_svd,-1,1.0,104,0.9581976786133487,0.75,0.9978021978021978
math,shared_ssl_r16,16,1.0,104,0.7793676711059027,0.75,0.9554945054945055
math,domain_ssl,4,1.0,104,0.8843714860721283,0.7857142857142857,0.9868131868131869
math,domain_ssl,8,1.0,104,0.8745538380693944,0.7142857142857143,0.9835164835164836
science,no_svd_lr,-1,0.1,17,0.7867537375846968,0.7166666666666667,0.9484375
science,frozen_svd,-1,0.1,17,0.8021081166321147,0.7166666666666666,0.9807291666666667
science,shared_ssl_r16,16,0.1,17,0.6639030280241754,0.7,0.9507812499999999
science,domain_ssl,4,0.1,17,0.8220979315691089,0.7166666666666667,0.98515625
science,domain_ssl,8,0.1,17,0.7891264341354777,0.7333333333333333,0.9700520833333335
science,no_svd_lr,-1,0.5,84,0.8425766707184431,0.6833333333333333,0.9763020833333333
science,frozen_svd,-1,0.5,84,0.7893090605556622,0.7,0.9885416666666667
science,shared_ssl_r16,16,0.5,84,0.7601629430896621,0.7,0.9770833333333334
science,domain_ssl,4,0.5,84,0.8141048810394418,0.6833333333333333,0.9640625
science,domain_ssl,8,0.5,84,0.7995758651336089,0.7,0.9619791666666667
science,no_svd_lr,-1,1.0,168,0.8320333293785878,0.7,0.98515625
science,frozen_svd,-1,1.0,168,0.7943518349746974,0.7333333333333334,0.9846354166666667
science,shared_ssl_r16,16,1.0,168,0.7876257206991766,0.6833333333333333,0.9872395833333334
science,domain_ssl,4,1.0,168,0.8172967655128041,0.6666666666666666,0.9708333333333334
science,domain_ssl,8,1.0,168,0.8023141552159334,0.6666666666666666,0.9716145833333334
coding,no_svd_lr,-1,0.1,14,0.5320907574428702,0.44,0.533125
coding,shared_ssl_r16,16,0.1,14,0.5008736177750263,0.48,0.5325000000000001
coding,domain_ssl,4,0.1,14,0.5058673720645552,0.48,0.526875
coding,domain_ssl_weak,4,0.1,14,0.5061406512110738,0.48,0.52125
coding,domain_ssl,8,0.1,14,0.4926546067391138,0.6,0.48
coding,domain_ssl_weak,8,0.1,14,0.4922829908745402,0.6,0.478125
coding,no_svd_lr,-1,0.5,71,0.49554670681431245,0.64,0.5175000000000001
coding,shared_ssl_r16,16,0.5,71,0.5011559645362461,0.52,0.514375
coding,domain_ssl,4,0.5,71,0.5081252081252081,0.6,0.491875
coding,domain_ssl_weak,4,0.5,71,0.5075193976602427,0.6,0.48812500000000003
coding,domain_ssl,8,0.5,71,0.4909824135176247,0.52,0.46937500000000004
coding,domain_ssl_weak,8,0.5,71,0.4923392726209627,0.48,0.4687499999999999
coding,no_svd_lr,-1,1.0,142,0.4797179346475121,0.6,0.47250000000000003
coding,shared_ssl_r16,16,1.0,142,0.5019784597249386,0.52,0.526875
coding,domain_ssl,4,1.0,142,0.5108506516957221,0.56,0.510625
coding,domain_ssl_weak,4,1.0,142,0.5114699072445552,0.56,0.5075000000000001
coding,domain_ssl,8,1.0,142,0.49782674289716533,0.48,0.49124999999999996
coding,domain_ssl_weak,8,1.0,142,0.4989949018118033,0.44,0.48687499999999995
