stage,protocol,domain,seed,condition,basis_scope,view_name,method,positive_mode,ssl_rank,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,coding,42,baseline_lr,none,raw_only,lr,n/a,0,0.46554165709095285,0.4287500000000001,nan,0.4923746050506614,0.56
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,coding,42,baseline_lr,none,rank_only,lr,n/a,0,0.4957708957708958,0.5125,nan,0.4979824557289346,0.48
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,coding,42,baseline_lr,none,token_only,lr,n/a,0,0.40802265027617135,0.325,nan,0.43248457332964374,0.56
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,coding,42,baseline_lr,none,raw+rank,lr,n/a,0,0.4746944761029268,0.464375,nan,0.5294236280151773,0.6
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,coding,42,ssl_basis,shared,token_pair,rrr,same_run,16,0.4199939340784411,0.236875,nan,0.44267469619582295,0.44
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,coding,42,ssl_basis,task_specific,token_pair,rrr,same_run,16,0.4325890072368946,0.30124999999999996,nan,0.41686951546106477,0.52
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,coding,42,ssl_basis,shared,adjacent_full,cca,same_run,16,0.4870600448065237,0.4149999999999999,nan,0.546552039509786,0.56
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,coding,42,ssl_basis,shared,adjacent_full,cca,same_problem,16,0.49438542677979297,0.4762500000000001,nan,0.5411849496356539,0.56
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,coding,42,ssl_basis,shared,denoise_full,denoise,same_run,16,0.42350904181890103,0.24500000000000002,nan,0.40705929438323807,0.52
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,coding,42,ssl_basis,task_specific,denoise_full,denoise,same_run,16,0.4479387592063648,0.34937500000000005,nan,0.41448848491102014,0.52
