stage,protocol,domain,seed,condition,basis_scope,view_name,method,positive_mode,ssl_rank,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100,label_fraction,n_labeled_problems,pseudo_threshold,n_pseudo,pseudo_precision
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,no_basis_lr,none,raw+rank,lr,n/a,0,0.9412188715817349,0.9978021978021978,0.1,0.9702034604454421,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.9140470544004156,0.9950549450549451,0.1,0.9696940613376681,0.7857142857142857,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,token_pair,rrr,same_run,16,0.8888192249902253,0.9956043956043956,0.1,0.9591543687222573,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,token_pair,rrr,same_run,16,0.8822441978261132,0.9934065934065934,0.1,0.9406949422715145,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8832877817120368,0.9950549450549451,0.1,0.9606034852460911,0.7857142857142857,0.05,5,0.9,2822,0.7980155917788803
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.8863063175168518,0.9967032967032967,0.1,0.9553596253523688,0.7857142857142857,0.05,5,0.9,2677,0.8094882330967501
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8925520904492934,0.9978021978021978,0.1,0.9581643469394993,0.75,0.05,5,0.95,2280,0.8543859649122807
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.8901320419648139,0.9967032967032967,0.1,0.9583719026427211,0.7857142857142857,0.05,5,0.95,2065,0.8702179176755448
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,no_basis_lr,none,raw+rank,lr,n/a,0,0.9471724213343052,0.9961538461538462,0.1,0.9733675718210305,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.9225219353955422,0.9934065934065934,0.1,0.9667526797586135,0.7142857142857143,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,token_pair,rrr,same_run,16,0.9120632381227284,0.9983516483516484,0.1,0.9717698377063115,0.7857142857142857,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,token_pair,rrr,same_run,16,0.9215700296112594,0.9989010989010989,0.1,0.9643153875960897,0.7142857142857143,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8920010995032609,0.9983516483516484,0.1,0.9658318726291107,0.75,0.1,10,0.9,2229,0.8995065051592642
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.9011978453157476,0.9983516483516484,0.1,0.9671766097377823,0.75,0.1,10,0.9,2013,0.9080973671137605
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8838073752185261,0.9961538461538462,0.1,0.9662643564782506,0.75,0.1,10,0.95,1620,0.9419753086419753
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.8727427516245513,0.9967032967032967,0.1,0.9690524760545821,0.75,0.1,10,0.95,1466,0.9502046384720327
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,no_basis_lr,none,raw+rank,lr,n/a,0,0.9567333866290822,0.9983516483516484,0.1,0.9824109519417535,0.75,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.9565437429499168,0.9967032967032967,0.1,0.9808486648723923,0.75,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,token_pair,rrr,same_run,16,0.9225858391691667,0.9967032967032967,0.1,0.9683007796744543,0.75,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,token_pair,rrr,same_run,16,0.949244131307483,0.9994505494505495,0.1,0.9765369447607916,0.7857142857142857,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.9286625629941375,0.9961538461538462,0.1,0.9684022936047434,0.75,0.25,26,0.9,1872,0.9353632478632479
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.9249010813935339,0.9967032967032967,0.1,0.9683750417010648,0.75,0.25,26,0.9,1705,0.9395894428152493
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.9284979100649604,0.9961538461538462,0.1,0.9683579055518171,0.75,0.25,26,0.95,1406,0.9601706970128022
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.9275751351504634,0.9961538461538462,0.1,0.9683601437497164,0.75,0.25,26,0.95,1250,0.9672
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,no_basis_lr,none,raw+rank,lr,n/a,0,0.8407254509225736,0.9912087912087912,0.1,0.9129228979749282,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.800367932793101,0.9802197802197803,0.1,0.8726975376341907,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_sup,shared,token_pair,rrr,same_run,16,0.8492746481793007,0.9840659340659341,0.1,0.9553489388825601,0.7142857142857143,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,task_ssl_sup,task_specific,token_pair,rrr,same_run,16,0.7829612382015982,0.9329670329670331,0.1,0.9064081621988784,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8531029541633958,0.9884615384615385,0.1,0.9544805996887575,0.75,0.05,5,0.9,2055,0.8559610705596107
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.8526206095091405,0.989010989010989,0.1,0.9547513068633391,0.75,0.05,5,0.9,1854,0.8495145631067961
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8532643406510187,0.9884615384615385,0.1,0.95351973576762,0.75,0.05,5,0.95,1513,0.8559153998678123
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.8537321910547463,0.987912087912088,0.1,0.9535811872815001,0.7142857142857143,0.05,5,0.95,1376,0.8531976744186046
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,no_basis_lr,none,raw+rank,lr,n/a,0,0.9179173083359349,0.9978021978021978,0.1,0.9514307253869027,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.9355891641586934,0.9950549450549451,0.1,0.9775878934315477,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_sup,shared,token_pair,rrr,same_run,16,0.8191821944470129,0.9956043956043956,0.1,0.9220872749607906,0.7142857142857143,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,task_ssl_sup,task_specific,token_pair,rrr,same_run,16,0.9224484080098974,1.0,0.1,0.9784786942526615,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8185391565126036,0.9961538461538462,0.1,0.9473909099653218,0.7142857142857143,0.1,10,0.9,2545,0.812966601178782
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.829073481289293,0.9961538461538462,0.1,0.9390242015304008,0.7142857142857143,0.1,10,0.9,2338,0.7985457656116339
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8389069998191708,0.9956043956043956,0.1,0.9459661924880557,0.7142857142857143,0.1,10,0.95,2060,0.8432038834951456
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.835345107402296,0.9956043956043956,0.1,0.9545602760496454,0.7142857142857143,0.1,10,0.95,1751,0.8378069674471731
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,no_basis_lr,none,raw+rank,lr,n/a,0,0.9576285722771706,0.9983516483516484,0.1,0.9820926312586568,0.75,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.9557826694657632,0.9983516483516484,0.1,0.981699169201683,0.75,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_sup,shared,token_pair,rrr,same_run,16,0.928689881069177,0.9983516483516484,0.1,0.9631824907279276,0.7142857142857143,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,task_ssl_sup,task_specific,token_pair,rrr,same_run,16,0.9524827719844169,0.9983516483516484,0.1,0.9826613548516695,0.7857142857142857,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.9239409322165137,0.9983516483516484,0.1,0.9630976031675401,0.75,0.25,26,0.9,2127,0.918664786083686
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.9263186882359937,0.9983516483516484,0.1,0.9631730819594282,0.75,0.25,26,0.9,1877,0.9248801278636122
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.928234461390309,0.9983516483516484,0.1,0.9629011222881634,0.7142857142857143,0.25,26,0.95,1575,0.946031746031746
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.9283900843503813,0.9983516483516484,0.1,0.9627951111187446,0.7142857142857143,0.25,26,0.95,1383,0.9558929862617498
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,no_basis_lr,none,raw+rank,lr,n/a,0,0.9375116294336246,0.993956043956044,0.1,0.9785276194652736,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.9340074486842924,0.9945054945054945,0.1,0.9725953856684656,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,frozen_ssl_sup,shared,token_pair,rrr,same_run,16,0.8809794800809737,0.987912087912088,0.1,0.9698482358636153,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,task_ssl_sup,task_specific,token_pair,rrr,same_run,16,0.9268872152590841,0.9934065934065934,0.1,0.9647521184083613,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8740085752352998,0.9752747252747254,0.1,0.9697637538422229,0.75,0.05,5,0.9,2538,0.8561859732072498
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.8559815736555353,0.9719780219780221,0.1,0.9689896149236189,0.75,0.05,5,0.9,2370,0.8481012658227848
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8557150678610507,0.9719780219780221,0.1,0.9700262009764665,0.75,0.05,5,0.95,2114,0.8647114474929044
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.860663789508834,0.9725274725274726,0.1,0.9698202951775582,0.75,0.05,5,0.95,1915,0.8736292428198433
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,no_basis_lr,none,raw+rank,lr,n/a,0,0.9446682323498721,0.9950549450549451,0.1,0.9767822261759125,0.7142857142857143,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.944449322255408,0.9945054945054945,0.1,0.976697020532425,0.7142857142857143,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,frozen_ssl_sup,shared,token_pair,rrr,same_run,16,0.9003643002340269,0.987912087912088,0.1,0.9729267898532667,0.7142857142857143,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,task_ssl_sup,task_specific,token_pair,rrr,same_run,16,0.9438199468329698,0.9961538461538462,0.1,0.9765819340583982,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.9136864435295751,0.993956043956044,0.1,0.9719330865246004,0.7142857142857143,0.1,10,0.9,2407,0.8973826339842127
