stage,protocol,domain,seed,condition,basis_scope,view_name,method,positive_mode,ssl_rank,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,baseline_lr,none,raw_only,lr,n/a,0,0.953277597538122,0.9989010989010989,0.1,0.977756744920429,0.75
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,baseline_lr,none,rank_only,lr,n/a,0,0.5896498999208789,0.8934065934065936,0.8,0.6145638645377758,0.7857142857142857
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,baseline_lr,none,token_only,lr,n/a,0,0.7722084402486418,0.9527472527472528,0.1,0.9165478262013681,0.7142857142857143
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,baseline_lr,none,raw+rank,lr,n/a,0,0.9592586128464928,0.9972527472527473,0.1,0.9836845179065727,0.75
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,baseline_lr,none,raw_only,lr,n/a,0,0.953277597538122,0.9989010989010989,0.1,0.977756744920429,0.75
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,baseline_lr,none,rank_only,lr,n/a,0,0.5896498999208789,0.8934065934065936,0.8,0.6145638645377758,0.7857142857142857
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,baseline_lr,none,token_only,lr,n/a,0,0.7722084402486418,0.9527472527472528,0.1,0.9165478262013681,0.7142857142857143
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,43,baseline_lr,none,raw+rank,lr,n/a,0,0.9592586128464928,0.9972527472527473,0.1,0.9836845179065727,0.75
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,baseline_lr,none,raw_only,lr,n/a,0,0.953277597538122,0.9989010989010989,0.1,0.977756744920429,0.75
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,baseline_lr,none,rank_only,lr,n/a,0,0.5896498999208789,0.8934065934065936,0.8,0.6145638645377758,0.7857142857142857
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,baseline_lr,none,token_only,lr,n/a,0,0.7722084402486418,0.9527472527472528,0.1,0.9165478262013681,0.7142857142857143
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,44,baseline_lr,none,raw+rank,lr,n/a,0,0.9592586128464928,0.9972527472527473,0.1,0.9836845179065727,0.75
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,ssl_basis,shared,raw_rank,cca,same_run,4,0.6302374455124458,0.7934065934065934,0.1,0.8322170918427503,0.7142857142857143
