stage,protocol,domain,seed,condition,basis_scope,view_name,method,positive_mode,ssl_rank,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100,label_fraction,n_labeled_problems,pseudo_threshold,n_pseudo,pseudo_precision
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,no_basis_lr,none,raw+rank,lr,n/a,0,0.9412188715817349,0.9978021978021978,0.1,0.9702034604454421,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.9140470544004156,0.9950549450549451,0.1,0.9696940613376681,0.7857142857142857,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,adjacent_full,cca,same_run,4,0.8468717220691462,0.9851648351648352,0.1,0.9222712094432982,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,4,0.8576712563327815,0.9901098901098901,0.1,0.9205611729508656,0.75,0.05,5,0.95,1997,0.8607911867801703
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,4,0.8573748877290395,0.9901098901098901,0.1,0.921280259407563,0.75,0.05,5,0.95,1887,0.8717541070482246
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,adjacent_full,cca,same_run,16,0.9031097919360543,0.9950549450549451,0.1,0.9571018478801686,0.7857142857142857,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,16,0.9055442237394804,0.9961538461538462,0.1,0.9571347867217147,0.7857142857142857,0.05,5,0.95,2447,0.8520637515324888
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,16,0.9075587298752462,0.9967032967032967,0.1,0.9700213931003672,0.7857142857142857,0.05,5,0.95,2193,0.8736890104879161
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,token_pair,rrr,same_run,4,0.685947986562738,0.926923076923077,0.1,0.7072581750457069,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,token_pair,rrr,same_run,4,0.7287480381047968,0.9543956043956044,0.1,0.7527423856250207,0.7857142857142857,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,4,0.6851819357729835,0.926923076923077,0.1,0.7060538770392488,0.75,0.05,5,0.95,1047,0.8586437440305635
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,4,0.6868884044046679,0.9280219780219781,0.1,0.709583983022872,0.75,0.05,5,0.95,604,0.8509933774834437
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,token_pair,rrr,same_run,16,0.8888192249902253,0.9956043956043956,0.1,0.9591543687222573,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,token_pair,rrr,same_run,16,0.8822441978261132,0.9934065934065934,0.1,0.9406949422715145,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8925520904492934,0.9978021978021978,0.1,0.9581643469394993,0.75,0.05,5,0.95,2280,0.8543859649122807
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.8901320419648139,0.9967032967032967,0.1,0.9583719026427211,0.7857142857142857,0.05,5,0.95,2065,0.8702179176755448
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,denoise_full,denoise,same_run,4,0.7342880732155399,0.948901098901099,0.1,0.7990112942315682,0.7142857142857143,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,denoise_full,denoise,same_run,4,0.7966246285643893,0.9747252747252748,0.1,0.8119397263164877,0.75,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,denoise_full,denoise,same_run,4,0.7359812516402394,0.948901098901099,0.1,0.8017767312334095,0.7142857142857143,0.05,5,0.95,1521,0.8671926364234056
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,denoise_full,denoise,same_run,4,0.7357364373225499,0.9500000000000001,0.1,0.8020669174658407,0.7142857142857143,0.05,5,0.95,1045,0.876555023923445
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,denoise_full,denoise,same_run,16,0.8772877540467462,0.9934065934065934,0.1,0.9632433100809493,0.7857142857142857,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,denoise_full,denoise,same_run,16,0.9210859196133494,0.9950549450549451,0.1,0.9626665216309407,0.7857142857142857,0.05,5,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,denoise_full,denoise,same_run,16,0.8972972744688453,0.993956043956044,0.1,0.970700255489324,0.7857142857142857,0.05,5,0.95,2379,0.864228667507356
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,denoise_full,denoise,same_run,16,0.8901246644824143,0.993956043956044,0.1,0.9688089763906046,0.7857142857142857,0.05,5,0.95,2177,0.88194763435921
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,no_basis_lr,none,raw+rank,lr,n/a,0,0.9471724213343052,0.9961538461538462,0.1,0.9733675718210305,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.9225219353955422,0.9934065934065934,0.1,0.9667526797586135,0.7142857142857143,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,adjacent_full,cca,same_run,4,0.8756616228654757,0.9978021978021978,0.1,0.9331982198728505,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,4,0.8755388479351647,0.9978021978021978,0.1,0.9333856702515471,0.75,0.1,10,0.95,1901,0.9163598106259864
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,4,0.8760887825611555,0.9978021978021978,0.1,0.9333811821443049,0.75,0.1,10,0.95,1778,0.9313835770528683
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,adjacent_full,cca,same_run,16,0.87837927740894,0.9934065934065934,0.1,0.9682468761112927,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,16,0.8798291310193589,0.9956043956043956,0.1,0.9684819703096272,0.75,0.1,10,0.95,2362,0.8793395427603725
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,16,0.8800134462702083,0.9934065934065934,0.1,0.9685002404653105,0.75,0.1,10,0.95,2161,0.8944932901434521
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,token_pair,rrr,same_run,4,0.7006253738505926,0.9423076923076924,0.1,0.7177902539902318,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,token_pair,rrr,same_run,4,0.7318845132912583,0.9538461538461539,0.1,0.7659640290507422,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,4,0.7010119344770803,0.9423076923076924,0.1,0.7179745556303977,0.75,0.1,10,0.95,716,0.8156424581005587
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,4,0.7007831012456226,0.942857142857143,0.1,0.7178696657384719,0.75,0.1,10,0.95,450,0.8222222222222222
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,token_pair,rrr,same_run,16,0.9120632381227284,0.9983516483516484,0.1,0.9717698377063115,0.7857142857142857,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,token_pair,rrr,same_run,16,0.9215700296112594,0.9989010989010989,0.1,0.9643153875960897,0.7142857142857143,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,16,0.8838073752185261,0.9961538461538462,0.1,0.9662643564782506,0.75,0.1,10,0.95,1620,0.9419753086419753
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16,0.8727427516245513,0.9967032967032967,0.1,0.9690524760545821,0.75,0.1,10,0.95,1466,0.9502046384720327
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,denoise_full,denoise,same_run,4,0.7424421135968835,0.954945054945055,0.1,0.8033980555666885,0.7142857142857143,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,denoise_full,denoise,same_run,4,0.7983855150453681,0.9758241758241758,0.1,0.8450599144224291,0.7142857142857143,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,denoise_full,denoise,same_run,4,0.7428711253230988,0.9560439560439561,0.1,0.8041848406704679,0.7142857142857143,0.1,10,0.95,1017,0.872173058013766
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,denoise_full,denoise,same_run,4,0.7423630276066183,0.9543956043956044,0.1,0.8031885484051039,0.7142857142857143,0.1,10,0.95,722,0.8878116343490304
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,denoise_full,denoise,same_run,16,0.9002843723859552,0.9923076923076923,0.1,0.9704801845450229,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,denoise_full,denoise,same_run,16,0.912754628592035,0.9928571428571429,0.1,0.9688019299721049,0.75,0.1,10,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,denoise_full,denoise,same_run,16,0.9227503118890957,0.993956043956044,0.1,0.9677393724271822,0.7142857142857143,0.1,10,0.95,1767,0.9173740803621958
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,denoise_full,denoise,same_run,16,0.9234287928535702,0.9967032967032967,0.1,0.9664425800907116,0.7142857142857143,0.1,10,0.95,1602,0.9257178526841449
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,no_basis_lr,none,raw+rank,lr,n/a,0,0.9567333866290822,0.9983516483516484,0.1,0.9824109519417535,0.75,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_svd,shared,canonical_svd,svd_lr,n/a,0,0.9565437429499168,0.9967032967032967,0.1,0.9808486648723923,0.75,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,adjacent_full,cca,same_run,4,0.8751275621154233,0.9978021978021978,0.1,0.9340352094229798,0.75,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,4,0.8748164554995758,0.9978021978021978,0.1,0.9328405092594323,0.75,0.25,26,0.95,1508,0.9184350132625995
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,4,0.8748305594205964,0.9978021978021978,0.1,0.9328128910255449,0.75,0.25,26,0.95,1393,0.9303661162957645
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,adjacent_full,cca,same_run,16,0.9112088277643144,0.9972527472527473,0.1,0.9742223136112808,0.75,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,16,0.9116537016539258,0.9978021978021978,0.1,0.9744956950784677,0.75,0.25,26,0.95,1791,0.9452819653824679
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,16,0.9122129968157592,0.9978021978021978,0.1,0.9744769867366111,0.75,0.25,26,0.95,1612,0.9615384615384616
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_sup,shared,token_pair,rrr,same_run,4,0.7022808484422454,0.9456043956043956,0.1,0.7156013897673622,0.75,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,task_ssl_sup,task_specific,token_pair,rrr,same_run,4,0.7170877166347546,0.9467032967032968,0.1,0.7414460220832135,0.7142857142857143,0.25,26,nan,0,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_pseudo,shared,token_pair,rrr,same_run,4,0.7023519756683136,0.9456043956043956,0.1,0.7157493565180494,0.75,0.25,26,0.95,205,0.8341463414634146
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,42,frozen_ssl_agreement,shared,token_pair,rrr,same_run,4,0.7023204172600445,0.9456043956043956,0.1,0.7158304517954585,0.75,0.25,26,0.95,87,0.8850574712643678
