stage,protocol,domain,condition,basis_scope,view_name,method,positive_mode,ssl_rank,label_fraction,pseudo_threshold,n_seeds,n_labeled_problems_mean,n_labeled_problems_std,auc_of_auroc_mean,auc_of_auroc_std,auc_of_selacc_mean,auc_of_selacc_std,earliest_gt_0_6_mean,earliest_gt_0_6_std,auroc_at_100_mean,auroc_at_100_std,stop_acc_at_100_mean,stop_acc_at_100_std,n_pseudo_mean,n_pseudo_std,pseudo_precision_mean,pseudo_precision_std
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,4.0,0.05,0.95,3,5.0,0.0,0.848833396085159,0.00897549810971606,0.9915750915750916,0.001370570471345761,0.10000000000000002,1.3877787807814457e-17,0.8996753389282164,0.018743452415364775,0.7619047619047619,0.016835875742536838,2033.3333333333333,112.31602240503751,0.8718027181408127,6.513727260385035e-05
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,4.0,0.1,0.95,3,10.0,0.0,0.8657835998384513,0.01316396392075328,0.9952380952380953,0.002884251968502485,0.10000000000000002,1.3877787807814457e-17,0.9313682184166835,0.0021041227953292286,0.7619047619047619,0.016835875742536838,1649.0,244.24987205728482,0.9292270653896573,0.013771779626728405
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,4.0,0.25,0.95,3,26.0,0.0,0.8702996088778981,0.006401399847696684,0.9956043956043956,0.003108161675545253,0.10000000000000002,1.3877787807814457e-17,0.9344577368401227,0.001267614987153906,0.75,0.0,1349.3333333333333,30.879694874715902,0.9401281218769025,0.006931649774576084
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,4.0,0.5,0.95,3,52.0,0.0,0.8735593567228607,0.0009379888156507407,0.9974358974358974,0.0005180269459242089,0.10000000000000002,1.3877787807814457e-17,0.9351797709764266,0.00027523943584380954,0.75,0.0,835.0,89.02059686761636,0.9562271931938966,0.016627745558220296
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,4.0,1.0,0.95,3,104.0,0.0,0.8714145998191128,1.1102230246251565e-16,0.9961538461538462,0.0,0.10000000000000002,1.3877787807814457e-17,0.9358506918540025,1.1102230246251565e-16,0.75,0.0,0.0,0.0,nan,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,16.0,0.05,0.95,3,5.0,0.0,0.8540661858064182,0.06751298556509269,0.9831501831501832,0.01615878754587016,0.10000000000000002,1.3877787807814457e-17,0.9526427331746777,0.025206707386047314,0.7619047619047619,0.016835875742536838,2327.6666666666665,162.3213547941928,0.8489696576187925,0.02747896402141505
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,16.0,0.1,0.95,3,10.0,0.0,0.8862790260511627,0.016140175020637384,0.9930402930402931,0.000933886357800873,0.10000000000000002,1.3877787807814457e-17,0.9620952295164674,0.010773868900154889,0.7619047619047619,0.016835875742536838,1722.6666666666667,321.2624403125201,0.899659081424236,0.024109076302405864
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,16.0,0.25,0.95,3,26.0,0.0,0.9170417477659566,0.0035561774361699823,0.997985347985348,0.0002590134729621044,0.10000000000000002,1.3877787807814457e-17,0.9757137204647796,0.0014292128022456482,0.75,0.0,1586.6666666666667,35.122009560324926,0.9590925210938804,0.004467750721606344
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,16.0,0.5,0.95,3,52.0,0.0,0.9211659340145483,0.003619207030218438,0.9974358974358974,0.0006852852356728805,0.10000000000000002,1.3877787807814457e-17,0.9781197961967102,0.0002325622517612762,0.75,0.0,1018.3333333333334,109.74009699689941,0.9607562886007585,0.0051689442490190154
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,adjacent_full,cca,same_run,16.0,1.0,0.95,3,104.0,0.0,0.9229797472220996,0.0,0.9967032967032967,0.0,0.10000000000000002,1.3877787807814457e-17,0.9782317499126626,0.0,0.75,0.0,0.0,0.0,nan,nan
