stage,protocol,domain,condition,basis_scope,view_name,method,positive_mode,ssl_rank,n_seeds,auc_of_auroc_mean,auc_of_auroc_std,auc_of_selacc_mean,auc_of_selacc_std,earliest_gt_0_6_mean,earliest_gt_0_6_std,auroc_at_100_mean,auroc_at_100_std,stop_acc_at_100_mean,stop_acc_at_100_std
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,baseline_lr,none,rank_only,lr,n/a,0,3,0.5896498999208789,0.0,0.8934065934065935,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,0.6145638645377758,0.0,0.7857142857142857,0.0
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,baseline_lr,none,raw+rank,lr,n/a,0,3,0.9592586128464928,0.0,0.9972527472527473,0.0,0.10000000000000002,1.3877787807814457e-17,0.9836845179065726,1.1102230246251565e-16,0.75,0.0
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,baseline_lr,none,raw_only,lr,n/a,0,3,0.953277597538122,0.0,0.9989010989010989,0.0,0.10000000000000002,1.3877787807814457e-17,0.9777567449204291,1.1102230246251565e-16,0.75,0.0
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,baseline_lr,none,token_only,lr,n/a,0,3,0.7722084402486417,1.1102230246251565e-16,0.9527472527472528,0.0,0.10000000000000002,1.3877787807814457e-17,0.9165478262013681,0.0,0.7142857142857143,0.0
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,ssl_basis,shared,adjacent_full,cca,same_problem,4,3,0.8163790338154725,0.004605020828648664,0.9673992673992675,0.0023021621043912486,0.10000000000000002,1.3877787807814457e-17,0.9157398593825506,0.007634992751185069,0.6904761904761906,0.044543540318737376
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,ssl_basis,shared,adjacent_full,cca,same_run,4,3,0.8714145998191128,1.1102230246251565e-16,0.9961538461538462,0.0,0.10000000000000002,1.3877787807814457e-17,0.9358506918540025,1.1102230246251565e-16,0.75,0.0
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,ssl_basis,shared,adjacent_full,cca,same_run,8,3,0.9003078912256967,0.0,0.993956043956044,0.0,0.10000000000000002,1.3877787807814457e-17,0.9635193657422675,0.0,0.7857142857142857,0.0
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,ssl_basis,shared,adjacent_full,cca,same_run,16,3,0.9229797472220996,0.0,0.9967032967032967,0.0,0.10000000000000002,1.3877787807814457e-17,0.9782317499126626,0.0,0.75,0.0
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,ssl_basis,shared,adjacent_full,rrr,same_run,4,3,0.7912465705805215,0.0,0.9681318681318682,0.0,0.10000000000000002,1.3877787807814457e-17,0.8495916674638496,0.0,0.7857142857142857,0.0
ssl_basis,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,ssl_basis,shared,adjacent_full,rrr,same_run,8,3,0.8789643519665243,0.0,0.9901098901098901,0.0,0.10000000000000002,1.3877787807814457e-17,0.952718680126898,0.0,0.7142857142857143,0.0
