layer,condition_id,condition_label,domain,model_name,model_kind,rank,feature_count,auc_of_auroc_mean,auc_of_auroc_std,auc_of_selacc_mean,auc_of_selacc_std,auroc_at_100_mean,auroc_at_100_std,stop_acc_at_100_mean,stop_acc_at_100_std,mean_anchor_cv_auroc_mean,mean_anchor_cv_auroc_std,inference_time_sec_mean,inference_time_sec_std,n_rows
canonical,canonical_22,L1 canonical 22,coding,no_svd,no_svd,,22,0.4780455850878386,0.0,0.47562499999999996,0.0,0.5319875742410953,0.0,0.6,0.0,0.5624951598725014,0.0,0.0707899200109144,0.0006068087398497337,3
canonical,canonical_22,L1 canonical 22,coding,svd_r12,svd,12,22,0.4282237324490845,0.0,0.24500000000000002,0.0,0.40683104063385755,0.0,0.52,0.0,0.5559055886561087,0.0,0.07704190009584029,0.00037098528280245815,3
canonical,canonical_22,L1 canonical 22,coding,svd_r16,svd,16,22,0.4460934996146264,0.0,0.35625,5.551115123125783e-17,0.41256239847789145,0.0,0.52,0.0,0.5530101309421398,0.0,0.07723000971600413,0.0007037684886391755,3
canonical,canonical_22,L1 canonical 22,coding,svd_r24,svd,24,22,0.47694136849066426,0.0,0.47937499999999994,0.0,0.531828109292898,0.0,0.6,0.0,0.5627027128328586,0.0,0.07697684403198461,0.0004966089122720936,3
canonical,canonical_22,L1 canonical 22,coding,svd_r4,svd,4,22,0.4853077282654746,5.551115123125783e-17,0.47874999999999995,0.0,0.4688503984278632,0.0,0.52,0.0,0.47701253751631817,0.0,0.07901431627882023,0.0037811021096055336,3
canonical,canonical_22,L1 canonical 22,coding,svd_r8,svd,8,22,0.46403189924316673,5.551115123125783e-17,0.46374999999999994,5.551115123125783e-17,0.46456516879052084,5.551115123125783e-17,0.52,0.0,0.5096781007737583,0.0,0.07773612470676501,0.0010025044903979696,3
canonical,canonical_22,L1 canonical 22,math,no_svd,no_svd,,22,0.9592577287748122,0.0,0.9972527472527473,0.0,0.9836756771897676,1.1102230246251565e-16,0.75,0.0,0.9494786877357475,0.0,0.10717924466977517,0.0013589533642381886,3
canonical,canonical_22,L1 canonical 22,math,svd_r12,svd,12,22,0.9514460590681125,0.0,0.9967032967032967,0.0,0.9751116618938608,0.0,0.75,0.0,0.9238178318185758,1.1102230246251565e-16,0.11351110972464085,0.0009941448724162833,3
canonical,canonical_22,L1 canonical 22,math,svd_r16,svd,16,22,0.9580822331333237,0.0,0.9972527472527473,0.0,0.9817264019528166,0.0,0.75,0.0,0.9309535734784916,0.0,0.11509102598453562,0.002566880425535059,3
canonical,canonical_22,L1 canonical 22,math,svd_r24,svd,24,22,0.959456230744185,4.5551611854267415e-07,0.9983516483516484,0.0,0.9837204048613746,0.0,0.7142857142857143,0.0,0.9495877273610177,0.0,0.11482508565920095,0.0022304405093887657,3
canonical,canonical_22,L1 canonical 22,math,svd_r4,svd,4,22,0.7566118952325515,0.0,0.9467032967032968,0.0,0.8200906414980041,1.1102230246251565e-16,0.7142857142857143,0.0,0.7345302071183166,0.0,0.11632095463573933,0.0021800278555261254,3
canonical,canonical_22,L1 canonical 22,math,svd_r8,svd,8,22,0.8825257124958824,0.0,0.9989010989010989,0.0,0.8856059737684193,0.0,0.7857142857142857,0.0,0.8468266180413737,0.0,0.11466219765134156,0.0005621247774710025,3
canonical,canonical_22,L1 canonical 22,science,no_svd,no_svd,,22,0.8348068336329909,1.1102230246251565e-16,0.9846354166666668,1.1102230246251565e-16,0.8761057005335552,1.1102230246251565e-16,0.7166666666666665,1.1102230246251565e-16,0.7430825513883308,0.0,0.24898834177292883,0.05731941041688274,3
canonical,canonical_22,L1 canonical 22,science,svd_r12,svd,12,22,0.7870219329169461,0.0,0.9809895833333333,0.0,0.8411018630769419,1.1102230246251565e-16,0.6499999999999999,0.0,0.7224803371449995,0.0,0.18390096033302447,0.00030380549590961864,3
canonical,canonical_22,L1 canonical 22,science,svd_r16,svd,16,22,0.799789594441657,0.0,0.98828125,0.0,0.8543088753500946,1.1102230246251565e-16,0.7333333333333334,0.0,0.7355643391395082,1.1102230246251565e-16,0.18409198134516677,0.001014821162504924,3
canonical,canonical_22,L1 canonical 22,science,svd_r24,svd,24,22,0.8366875694371253,0.0,0.9828125,1.1102230246251565e-16,0.8760357161926637,0.0,0.7166666666666665,1.1102230246251565e-16,0.7440188448514022,0.0,0.18845492135733366,0.0011634830605003585,3
canonical,canonical_22,L1 canonical 22,science,svd_r4,svd,4,22,0.7996024166719004,0.0,0.95859375,1.1102230246251565e-16,0.8329288059879406,0.0,0.6999999999999998,1.1102230246251565e-16,0.6370232763996028,0.0,0.19174353033304214,0.003686760103949912,3
canonical,canonical_22,L1 canonical 22,science,svd_r8,svd,8,22,0.7696699847242527,0.0,0.9588541666666665,1.1102230246251565e-16,0.8228581836583904,0.0,0.7833333333333335,1.1102230246251565e-16,0.6649943482696059,0.0,0.1894545619531224,0.001005468520912368,3
canonical,token_only,L1 token-only,coding,no_svd,no_svd,,11,0.40823745894168423,5.551115123125783e-17,0.3275,0.0,0.4329426442102499,5.551115123125783e-17,0.56,0.0,0.5503447003665155,0.0,0.058603512666498624,0.001017330841830183,3
canonical,token_only,L1 token-only,coding,svd_r12,svd,12,11,0.4105493880141767,0.0,0.3075,0.0,0.4299112468126552,5.551115123125783e-17,0.56,0.0,0.5511579116522134,0.0,0.06497110061657925,0.000541175277138887,3
canonical,token_only,L1 token-only,coding,svd_r16,svd,16,11,0.40808185033537153,7.369852694996077e-08,0.32812499999999994,0.0,0.4329942358111372,0.0,0.56,0.0,0.550410148435073,0.0,0.06512928971399863,0.00038189154505527786,3
canonical,token_only,L1 token-only,coding,svd_r4,svd,4,11,0.4891519278843222,0.0,0.449375,5.551115123125783e-17,0.4701823997598645,5.551115123125783e-17,0.52,0.0,0.491592660709354,5.551115123125783e-17,0.06542020787795384,0.00035491336808072876,3
canonical,token_only,L1 token-only,coding,svd_r8,svd,8,11,0.4021322964984937,0.0,0.284375,0.0,0.4287621611565274,0.0,0.56,0.0,0.5537075145838672,0.0,0.06554780931522448,0.0004588790962851122,3
canonical,token_only,L1 token-only,math,no_svd,no_svd,,11,0.7731132780634279,0.0,0.948901098901099,0.0,0.9140118830422196,0.0,0.7142857142857143,0.0,0.8014485390190864,0.0,0.09747660532593727,0.0020789713871565215,3
canonical,token_only,L1 token-only,math,svd_r12,svd,12,11,0.7711202152242665,0.0,0.9472527472527473,0.0,0.9176846259880437,0.0,0.7142857142857143,0.0,0.8022211508815534,0.0,0.10390330237957339,0.000971127972050013,3
canonical,token_only,L1 token-only,math,svd_r16,svd,16,11,0.7711808740857423,1.2222377322064302e-05,0.9494505494505495,0.0,0.9116975368653905,0.0,0.7142857142857143,0.0,0.8011221288642502,4.514162956188686e-06,0.10462806629948318,0.0010993504626554582,3
canonical,token_only,L1 token-only,math,svd_r4,svd,4,11,0.6876750508467159,0.0,0.9346153846153845,1.1102230246251565e-16,0.7066201041470367,0.0,0.6785714285714285,1.1102230246251565e-16,0.681135226012351,1.1102230246251565e-16,0.10673013802928229,0.0012267927607264,3
canonical,token_only,L1 token-only,math,svd_r8,svd,8,11,0.7828832910820838,0.0,0.9675824175824177,0.0,0.9221884095904501,0.0,0.7142857142857143,0.0,0.7924681918604509,0.0,0.10484376829117537,0.0010636341503794733,3
canonical,token_only,L1 token-only,science,no_svd,no_svd,,11,0.8359802409230662,1.1102230246251565e-16,0.9684895833333332,1.1102230246251565e-16,0.8676071493937489,0.0,0.7166666666666665,1.1102230246251565e-16,0.7126712237933309,0.0,0.1446863196324557,0.007875479706735217,3
canonical,token_only,L1 token-only,science,svd_r12,svd,12,11,0.8342420073488129,0.0,0.9682291666666666,0.0,0.8670148612004063,0.0,0.7166666666666667,0.0,0.7106619150681848,0.0,0.16127013803149262,0.008112662962210823,3
canonical,token_only,L1 token-only,science,svd_r16,svd,16,11,0.8320821734719522,0.0,0.9684895833333332,1.1102230246251565e-16,0.8606424955821937,1.1102230246251565e-16,0.7333333333333333,0.0,0.7138141469138729,0.0,0.16581985106070837,0.01000507616972521,3
canonical,token_only,L1 token-only,science,svd_r4,svd,4,11,0.7930609899292543,1.1102230246251565e-16,0.9783854166666665,1.1102230246251565e-16,0.8176254603501908,0.0,0.7666666666666667,0.0,0.6397781345605777,0.0,0.17413476303530237,0.015148982688030057,3
canonical,token_only,L1 token-only,science,svd_r8,svd,8,11,0.8207513444595697,0.0,0.9757812500000002,1.1102230246251565e-16,0.8646993958249167,0.0,0.7166666666666665,1.1102230246251565e-16,0.7053944878480175,1.1102230246251565e-16,0.15822372127634785,0.003702746638095167,3
canonical,token_plus_trajectory,L1 token + trajectory,coding,no_svd,no_svd,,16,0.47865436597830957,0.0,0.488125,5.551115123125783e-17,0.5167211505239674,0.0,0.64,0.0,0.5650415248583118,0.0,0.06853684239710371,0.003564577298721526,3
canonical,token_plus_trajectory,L1 token + trajectory,coding,svd_r12,svd,12,16,0.43420351166830046,5.551115123125783e-17,0.28375000000000006,0.0,0.42770218826556855,0.0,0.6,0.0,0.5566479268903685,0.0,0.07533371766718726,0.004566971161399711,3
canonical,token_plus_trajectory,L1 token + trajectory,coding,svd_r16,svd,16,16,0.4520740605247647,5.551115123125783e-17,0.34437500000000004,5.551115123125783e-17,0.43782821247609977,5.551115123125783e-17,0.52,0.0,0.5518059535124207,0.0,0.07202012728278835,0.00029041295885521624,3
canonical,token_plus_trajectory,L1 token + trajectory,coding,svd_r24,svd,24,16,0.47794208920969483,0.0,0.488125,0.0,0.5165695024849954,0.0,0.64,0.0,0.5653925234630838,0.0,0.07247311264897387,0.00040367144811675294,3
canonical,token_plus_trajectory,L1 token + trajectory,coding,svd_r4,svd,4,16,0.4897743101968454,5.551115123125783e-17,0.48562500000000003,0.0,0.46915838465134235,5.551115123125783e-17,0.56,0.0,0.4817618406137149,0.0,0.07270979175033669,0.0005421247220030577,3
canonical,token_plus_trajectory,L1 token + trajectory,coding,svd_r8,svd,8,16,0.47358713274206227,5.551115123125783e-17,0.473125,0.0,0.47049194936518884,5.551115123125783e-17,0.56,0.0,0.5110982894538626,0.0,0.0753835563082248,0.003511997701456533,3
canonical,token_plus_trajectory,L1 token + trajectory,math,no_svd,no_svd,,16,0.9592383369917604,0.0,0.9978021978021978,0.0,0.9834273725422228,0.0,0.75,0.0,0.9497287426959776,1.1102230246251565e-16,0.10142969689331949,0.0007457815113469669,3
