condition_id,domain,layer,condition_label,base_feature_count,feature_count,decoy_family,decoy_level,n_seeds,no_svd_auc_of_auroc_mean,no_svd_auc_of_auroc_std,best_svd_auc_of_auroc_mean,best_svd_auc_of_auroc_std,delta_auc_of_auroc_mean,delta_auc_of_auroc_std,no_svd_auc_of_selacc_mean,no_svd_auc_of_selacc_std,best_svd_auc_of_selacc_mean,best_svd_auc_of_selacc_std,delta_auc_of_selacc_mean,delta_auc_of_selacc_std,delta_auroc_at_100_mean,delta_auroc_at_100_std,delta_stop_acc_at_100_mean,delta_stop_acc_at_100_std,best_svd_rank_mode,best_svd_rank_hist
perm_low,coding,noise,L3 permutation low,30,45,permutation,low,3,0.5452614677966791,0.0,0.5115214988454425,3.33153210842484e-05,-0.03373996895123651,3.33153210842484e-05,0.6993750000000002,1.1102230246251565e-16,0.465625,0.0005103103630798179,-0.23375000000000012,0.0005103103630798179,-0.09541058836833488,2.696802213525583e-05,0.20000000000000007,0.0,4,"{""4"": 3}"
perm_low,math,noise,L3 permutation low,30,45,permutation,low,3,0.9606587387652749,1.1102230246251565e-16,0.9398721724015534,1.1505779300882799e-07,-0.02078656636372156,1.1505779300882799e-07,0.9983516483516484,0.0,0.9983516483516484,0.0,0.0,0.0,-0.01781642373117731,0.0,0.0,0.0,24,"{""24"": 3}"
perm_low,science,noise,L3 permutation low,30,45,permutation,low,3,0.8307219848739106,1.1102230246251565e-16,0.7986811299725182,1.8447257811535407e-07,-0.032040854901392524,1.8447257811535407e-07,0.9817708333333334,1.1102230246251565e-16,0.9671875,1.1102230246251565e-16,-0.014583333333333393,0.0,-0.050574944639359666,8.041962635775462e-07,0.016666666666666607,0.0,4,"{""4"": 3}"
perm_med,coding,noise,L3 permutation med,30,60,permutation,med,3,0.551212949804499,0.0,0.5201432891573735,8.263113547857996e-06,-0.03106966064712539,8.263113547857996e-06,0.7150000000000002,1.1102230246251565e-16,0.5079166666666666,0.000589255650988777,-0.20708333333333348,0.000589255650988777,-0.09019775216958315,2.0423934898978644e-05,0.12,0.0,4,"{""4"": 3}"
perm_med,math,noise,L3 permutation med,30,60,permutation,med,3,0.9600541879258015,0.0,0.9301678971356839,4.235930723979349e-06,-0.029886290790117658,4.235930723979349e-06,0.9972527472527473,0.0,0.9989010989010989,0.0,0.0016483516483516425,0.0,-0.025738232028823416,4.782919245012097e-06,0.0357142857142857,0.0,24,"{""24"": 3}"
perm_med,science,noise,L3 permutation med,30,60,permutation,med,3,0.8318643329149893,0.0,0.8042117056436228,7.440511941376876e-07,-0.027652627271366564,7.440511941376876e-07,0.9752604166666665,0.0,0.9760416666666666,0.0,0.0007812500000000666,0.0,-0.045909813295504844,5.012223233103034e-07,-0.08333333333333326,0.0,4,"{""4"": 3}"
perm_high,coding,noise,L3 permutation high,30,90,permutation,high,3,0.5639307484377907,0.0,0.5186683426120046,1.1724321537100603e-05,-0.04526240582578608,1.1724321537100603e-05,0.7162499999999999,0.0,0.480625,0.0008838834764832179,-0.23562499999999997,0.0008838834764832179,-0.09313795229288184,3.1328376089633844e-05,-0.03999999999999998,0.0,4,"{""4"": 3}"
perm_high,math,noise,L3 permutation high,30,90,permutation,high,3,0.9598663963961919,1.1102230246251565e-16,0.934038932003786,0.0003180410978864073,-0.02582746439240602,0.0003180410978864073,0.9989010989010989,0.0,0.9956043956043956,0.0004486244950152325,-0.003296703296703285,0.0004486244950152325,-0.021725035966189094,0.00036473883593058,0.0357142857142857,0.0,24,"{""24"": 3}"
perm_high,science,noise,L3 permutation high,30,90,permutation,high,3,0.8318116821417343,0.0,0.808221067738966,8.078240921006542e-05,-0.0235906144027684,8.078240921006542e-05,0.9796875000000002,1.1102230246251565e-16,0.9849826388888889,0.0001227615939560432,0.005295138888888958,0.0001227615939560432,-0.019732104942868072,3.908366395840441e-05,-0.033333333333333215,0.0,8,"{""8"": 3}"
duplicate_low,coding,noise,L3 duplicate low,30,45,duplicate,low,3,0.5355545862588116,0.0,0.5013153773717153,6.074207375126531e-06,-0.03423920888709623,6.074207375126531e-06,0.67125,0.0,0.6006250000000001,0.0,-0.07062499999999994,0.0,-0.024597207695799206,1.0317793772889835e-05,-0.03999999999999998,0.0,24,"{""24"": 3}"
