domain,method,method_group,feature_family,transfer_axis,ood_protocol,id_auc_of_auroc,id_auc_of_selacc,id_auroc_at_100,id_stop_acc_at_100,ood_macro_auc_of_auroc,ood_macro_auc_of_selacc,ood_macro_auroc_at_100,ood_macro_stop_acc_at_100,abs_gap_auc_of_auroc,abs_gap_auc_of_selacc,abs_gap_auroc_at_100,abs_gap_stop_acc_at_100,rel_gap_auc_of_auroc,rel_gap_auroc_at_100,ood_fold_count,ood_macro_eval_caches,ood_macro_eval_problem_slices,transfer_rank_auc_of_auroc
coding,tok_conf_prefix_mean_v1,baseline,token_conf,single_signal,cache_root_withheld,0.5062144428341612,0.45812500000000006,0.4904031805440256,0.48,nan,0.0,nan,0.0,nan,-0.45812500000000006,nan,-0.48,nan,nan,1,2.0,334.0,1
coding,earlystop_svd_lowrank_lr_v1,baseline,all_features,global_svd,cache_root_withheld,0.47623737764582835,0.385625,0.4732606986128113,0.56,nan,0.0,nan,0.0,nan,-0.385625,nan,-0.56,nan,nan,1,2.0,334.0,2
coding,earlystop_prefix10_svd_round1,baseline,prefix_safe_search,global_anchor_svd,cache_root_withheld,0.47623737764582835,0.385625,0.4732606986128113,0.56,nan,0.0,nan,0.0,nan,-0.385625,nan,-0.56,nan,nan,1,2.0,334.0,3
coding,es_svd_coding_rr_r1,candidate,token_plus_traj_fixed,domain_conditioned_svd,cache_root_withheld,0.43415473415473416,0.24000000000000005,0.40683104063385755,0.52,nan,0.0,nan,0.0,nan,-0.24000000000000005,nan,-0.52,nan,nan,1,2.0,334.0,4
coding,tok_conf_prefix_mean_v1,baseline,token_conf,single_signal,model_family_withheld,0.5062144428341612,0.45812500000000006,0.4904031805440256,0.48,nan,0.0,nan,0.0,nan,-0.45812500000000006,nan,-0.48,nan,nan,1,1.0,167.0,1
coding,earlystop_svd_lowrank_lr_v1,baseline,all_features,global_svd,model_family_withheld,0.47623737764582835,0.385625,0.4732606986128113,0.56,nan,0.0,nan,0.0,nan,-0.385625,nan,-0.56,nan,nan,1,1.0,167.0,2
coding,earlystop_prefix10_svd_round1,baseline,prefix_safe_search,global_anchor_svd,model_family_withheld,0.47623737764582835,0.385625,0.4732606986128113,0.56,nan,0.0,nan,0.0,nan,-0.385625,nan,-0.56,nan,nan,1,1.0,167.0,3
coding,es_svd_coding_rr_r1,candidate,token_plus_traj_fixed,domain_conditioned_svd,model_family_withheld,0.43415473415473416,0.24000000000000005,0.40683104063385755,0.52,nan,0.0,nan,0.0,nan,-0.24000000000000005,nan,-0.52,nan,nan,1,1.0,167.0,4
math,earlystop_prefix10_svd_round1,baseline,prefix_safe_search,global_anchor_svd,math_benchmark_withheld,0.9347815302068707,0.9994505494505495,0.962987896108413,0.7857142857142857,0.9059498309441928,0.456716579861111,0.9392303042670911,0.36041666666666666,-0.028831699262677923,-0.5427339695894384,-0.023757591841321868,-0.42529761904761904,-0.030843248749573986,-0.024670706596967698,4,3.75,112.5,1
math,earlystop_svd_lowrank_lr_v1,baseline,all_features,global_svd,math_benchmark_withheld,0.7769243516981771,0.9560439560439562,0.9047364835025313,0.7142857142857143,0.8098434635847958,0.4523328993055556,0.8924690882034751,0.34027777777777785,0.03291911188661867,-0.5037110567384007,-0.012267395299056183,-0.37400793650793646,0.04237106458906211,-0.013559081039337638,4,3.75,112.5,2
