domain,condition,no_svd_auroc,svd_auroc,svd_gain,interpretation
math,canonical,0.9679,0.9640,-0.0039,svd≈no_svd
math,canonical_plus_nc,0.9678,0.9618,-0.0060,svd hurts
math,nc_only,0.7741,0.7741,0.0000,svd≈no_svd
math,canonical_plus_prefix,0.9679,0.9640,-0.0039,svd≈no_svd
math,all_available,0.9679,0.9618,-0.0061,svd hurts
science,canonical,0.7798,0.7698,-0.0100,svd hurts
science,canonical_plus_nc,0.7757,0.7606,-0.0151,svd hurts
science,nc_only,0.6961,0.6961,0.0000,svd≈no_svd
science,canonical_plus_prefix,0.7798,0.7697,-0.0101,svd hurts
science,all_available,0.7758,0.7606,-0.0152,svd hurts
coding,canonical,0.4910,0.5012,0.0102,svd helps
coding,canonical_plus_nc,0.5062,0.5001,-0.0061,svd hurts
coding,nc_only,0.4427,0.4427,0.0000,svd≈no_svd
coding,canonical_plus_prefix,0.4912,0.5011,0.0099,svd helps
coding,all_available,0.5058,0.5001,-0.0057,svd hurts
