domain,condition,n_feat,modeling,auroc_mean,auroc_std,bac_mean,stop_mean,n_folds_valid,n_folds_degenerate,n_samples,n_groups
math,canonical,22,no_svd,0.9679,0.0103,0.9193,0.7917,5,0,7680,120
math,canonical,22,svd_r12,0.9640,0.0113,0.9105,0.8083,5,0,7680,120
math,canonical_plus_nc,24,no_svd,0.9678,0.0103,0.9156,0.7917,5,0,7680,120
math,canonical_plus_nc,24,svd_r12,0.9618,0.0100,0.9061,0.8000,5,0,7680,120
math,canonical_plus_nad_scalar,26,no_svd,0.9679,0.0113,0.9165,0.7833,5,0,7680,120
math,canonical_plus_nad_scalar,26,svd_r12,0.9616,0.0141,0.9031,0.7917,5,0,7680,120
math,canonical_plus_nad_agree,27,no_svd,0.9688,0.0112,0.9138,0.7917,5,0,7680,120
math,canonical_plus_nad_agree,27,svd_r12,0.9581,0.0149,0.8917,0.7750,5,0,7680,120
math,canonical_plus_all_nad,31,no_svd,0.9711,0.0094,0.9184,0.7917,5,0,7680,120
math,canonical_plus_all_nad,31,svd_r12,0.9593,0.0121,0.8982,0.7667,5,0,7680,120
science,canonical,22,no_svd,0.7798,0.0584,0.7068,0.6319,5,0,12672,198
science,canonical,22,svd_r12,0.7698,0.0640,0.6971,0.6569,5,0,12672,198
science,canonical_plus_nc,24,no_svd,0.7757,0.0561,0.7007,0.6268,5,0,12672,198
science,canonical_plus_nc,24,svd_r12,0.7606,0.0664,0.6882,0.6368,5,0,12672,198
science,canonical_plus_nad_scalar,26,no_svd,0.7824,0.0550,0.7031,0.6218,5,0,12672,198
science,canonical_plus_nad_scalar,26,svd_r12,0.7640,0.0640,0.6905,0.6621,5,0,12672,198
science,canonical_plus_nad_agree,27,no_svd,0.7803,0.0591,0.7053,0.6272,5,0,12672,198
science,canonical_plus_nad_agree,27,svd_r12,0.7606,0.0691,0.6923,0.6521,5,0,12672,198
science,canonical_plus_all_nad,31,no_svd,0.7862,0.0565,0.7047,0.6417,5,0,12672,198
science,canonical_plus_all_nad,31,svd_r12,0.7538,0.0735,0.6815,0.6719,5,0,12672,198
coding,canonical,22,no_svd,0.4910,0.0810,0.4943,0.5697,5,0,10688,167
coding,canonical,22,svd_r12,0.5012,0.0839,0.5035,0.5936,5,0,10688,167
coding,canonical_plus_nc,24,no_svd,0.5062,0.0742,0.5153,0.5873,5,0,10688,167
coding,canonical_plus_nc,24,svd_r12,0.5001,0.0894,0.5033,0.5458,5,0,10688,167
coding,canonical_plus_nad_scalar,26,no_svd,0.5051,0.0609,0.5060,0.5752,5,0,10688,167
coding,canonical_plus_nad_scalar,26,svd_r12,0.4996,0.0986,0.4974,0.5633,5,0,10688,167
coding,canonical_plus_nad_agree,27,no_svd,0.4876,0.0602,0.4946,0.5930,5,0,10688,167
coding,canonical_plus_nad_agree,27,svd_r12,0.4694,0.0651,0.4900,0.5872,5,0,10688,167
coding,canonical_plus_all_nad,31,no_svd,0.5000,0.0448,0.5029,0.5936,5,0,10688,167
coding,canonical_plus_all_nad,31,svd_r12,0.5005,0.0755,0.4963,0.5811,5,0,10688,167
