domain,metric,modeling,a0_mean,a1_mean,delta,a1_minus_a0_pct,interpretation
math,auroc,no_svd,0.9679,0.9678,-0.0001,-0.0%,within noise
math,auroc,svd_r12,0.9640,0.9618,-0.0022,-0.2%,within noise
math,balanced_acc,no_svd,0.9193,0.9156,-0.0037,-0.4%,within noise
math,balanced_acc,svd_r12,0.9105,0.9061,-0.0044,-0.5%,within noise
math,stop_acc,no_svd,0.7917,0.7917,0.0000,+0.0%,within noise
math,stop_acc,svd_r12,0.8083,0.8000,-0.0083,-1.0%,negligible
science,auroc,no_svd,0.7798,0.7757,-0.0041,-0.5%,within noise
science,auroc,svd_r12,0.7698,0.7606,-0.0092,-1.2%,negligible
science,balanced_acc,no_svd,0.7068,0.7007,-0.0061,-0.9%,negligible
science,balanced_acc,svd_r12,0.6971,0.6882,-0.0089,-1.3%,negligible
science,stop_acc,no_svd,0.6319,0.6268,-0.0051,-0.8%,negligible
science,stop_acc,svd_r12,0.6569,0.6368,-0.0201,-3.1%,degradation
coding,auroc,no_svd,0.4910,0.5062,0.0152,+3.1%,meaningful gain
coding,auroc,svd_r12,0.5012,0.5001,-0.0011,-0.2%,within noise
coding,balanced_acc,no_svd,0.4943,0.5153,0.0210,+4.2%,meaningful gain
coding,balanced_acc,svd_r12,0.5035,0.5033,-0.0002,-0.0%,within noise
coding,stop_acc,no_svd,0.5697,0.5873,0.0176,+3.1%,meaningful gain
coding,stop_acc,svd_r12,0.5936,0.5458,-0.0478,-8.1%,degradation
