domain,condition,n_feat,modeling,metric,mean,std,n_folds_valid,n_folds_degenerate,n_samples,n_groups
math,canonical,22,no_svd,auroc,0.9679,0.0103,5,0,7680,120
math,canonical,22,no_svd,balanced_acc,0.9193,0.0000,5,0,7680,120
math,canonical,22,no_svd,stop_acc,0.7917,0.0000,5,0,7680,120
math,canonical,22,svd_r12,auroc,0.9640,0.0113,5,0,7680,120
math,canonical,22,svd_r12,balanced_acc,0.9105,0.0000,5,0,7680,120
math,canonical,22,svd_r12,stop_acc,0.8083,0.0000,5,0,7680,120
math,canonical_plus_nc,24,no_svd,auroc,0.9678,0.0103,5,0,7680,120
math,canonical_plus_nc,24,no_svd,balanced_acc,0.9156,0.0000,5,0,7680,120
math,canonical_plus_nc,24,no_svd,stop_acc,0.7917,0.0000,5,0,7680,120
math,canonical_plus_nc,24,svd_r12,auroc,0.9618,0.0100,5,0,7680,120
math,canonical_plus_nc,24,svd_r12,balanced_acc,0.9061,0.0000,5,0,7680,120
math,canonical_plus_nc,24,svd_r12,stop_acc,0.8000,0.0000,5,0,7680,120
math,nc_only,8,no_svd,auroc,0.7741,0.0512,5,0,7680,120
math,nc_only,8,no_svd,balanced_acc,0.6685,0.0000,5,0,7680,120
math,nc_only,8,no_svd,stop_acc,0.7250,0.0000,5,0,7680,120
math,nc_only,8,svd_r12,auroc,0.7741,0.0512,5,0,7680,120
math,nc_only,8,svd_r12,balanced_acc,0.6685,0.0000,5,0,7680,120
math,nc_only,8,svd_r12,stop_acc,0.7250,0.0000,5,0,7680,120
math,canonical_plus_prefix,27,no_svd,auroc,0.9679,0.0103,5,0,7680,120
math,canonical_plus_prefix,27,no_svd,balanced_acc,0.9196,0.0000,5,0,7680,120
math,canonical_plus_prefix,27,no_svd,stop_acc,0.7917,0.0000,5,0,7680,120
math,canonical_plus_prefix,27,svd_r12,auroc,0.9640,0.0113,5,0,7680,120
math,canonical_plus_prefix,27,svd_r12,balanced_acc,0.9105,0.0000,5,0,7680,120
math,canonical_plus_prefix,27,svd_r12,stop_acc,0.8000,0.0000,5,0,7680,120
math,all_available,29,no_svd,auroc,0.9679,0.0102,5,0,7680,120
math,all_available,29,no_svd,balanced_acc,0.9156,0.0000,5,0,7680,120
math,all_available,29,no_svd,stop_acc,0.7917,0.0000,5,0,7680,120
math,all_available,29,svd_r12,auroc,0.9618,0.0100,5,0,7680,120
math,all_available,29,svd_r12,balanced_acc,0.9060,0.0000,5,0,7680,120
math,all_available,29,svd_r12,stop_acc,0.8000,0.0000,5,0,7680,120
