condition,protocol,seed_or_iter,fold,is_degenerate,auroc
canonical,repeated_gkf,0,0,False,0.5323
canonical,repeated_gkf,0,1,False,0.5271
canonical,repeated_gkf,0,2,False,0.5476
canonical,repeated_gkf,0,3,False,0.4634
canonical,repeated_gkf,0,4,False,0.5804
canonical,repeated_gkf,1,0,False,0.5150
canonical,repeated_gkf,1,1,False,0.4917
canonical,repeated_gkf,1,2,False,0.5043
canonical,repeated_gkf,1,3,False,0.5797
canonical,repeated_gkf,1,4,False,0.5764
canonical,repeated_gkf,2,0,False,0.4836
canonical,repeated_gkf,2,1,False,0.4665
canonical,repeated_gkf,2,2,False,0.5316
canonical,repeated_gkf,2,3,False,0.4378
canonical,repeated_gkf,2,4,False,0.5251
canonical,repeated_gkf,3,0,False,0.5352
canonical,repeated_gkf,3,1,False,0.4277
canonical,repeated_gkf,3,2,False,0.4801
canonical,repeated_gkf,3,3,False,0.4816
canonical,repeated_gkf,3,4,False,0.5476
canonical,repeated_gkf,4,0,False,0.5251
canonical,repeated_gkf,4,1,False,0.4525
canonical,repeated_gkf,4,2,False,0.5691
canonical,repeated_gkf,4,3,False,0.5742
canonical,repeated_gkf,4,4,False,0.5154
canonical,repeated_gkf,5,0,False,0.5120
canonical,repeated_gkf,5,1,False,0.5902
canonical,repeated_gkf,5,2,False,0.4079
canonical,repeated_gkf,5,3,False,0.4928
canonical,repeated_gkf,5,4,False,0.4449
canonical,repeated_gkf,6,0,False,0.5579
canonical,repeated_gkf,6,1,False,0.4311
canonical,repeated_gkf,6,2,False,0.5712
canonical,repeated_gkf,6,3,False,0.4973
canonical,repeated_gkf,6,4,False,0.4906
canonical,repeated_gkf,7,0,False,0.4938
canonical,repeated_gkf,7,1,False,0.5141
canonical,repeated_gkf,7,2,False,0.4235
canonical,repeated_gkf,7,3,False,0.6240
canonical,repeated_gkf,7,4,False,0.5300
canonical,repeated_gkf,8,0,False,0.5610
canonical,repeated_gkf,8,1,False,0.4765
canonical,repeated_gkf,8,2,False,0.4593
canonical,repeated_gkf,8,3,False,0.5539
canonical,repeated_gkf,8,4,False,0.5644
canonical,repeated_gkf,9,0,False,0.4972
canonical,repeated_gkf,9,1,False,0.4375
canonical,repeated_gkf,9,2,False,0.4683
canonical,repeated_gkf,9,3,False,0.5396
canonical,repeated_gkf,9,4,False,0.5505
canonical,bootstrap,0,,False,0.4751
canonical,bootstrap,1,,False,0.5438
canonical,bootstrap,2,,False,0.4410
canonical,bootstrap,3,,False,0.5431
canonical,bootstrap,4,,False,0.5205
canonical,bootstrap,5,,False,0.5111
canonical,bootstrap,6,,False,0.4916
canonical,bootstrap,7,,False,0.4715
canonical,bootstrap,8,,False,0.4553
canonical,bootstrap,9,,False,0.5005
canonical,bootstrap,10,,False,0.4819
canonical,bootstrap,11,,False,0.5314
canonical,bootstrap,12,,False,0.4880
canonical,bootstrap,13,,False,0.5231
canonical,bootstrap,14,,False,0.5385
canonical,bootstrap,15,,False,0.4965
canonical,bootstrap,16,,False,0.4821
canonical,bootstrap,17,,False,0.5610
canonical,bootstrap,18,,False,0.5426
canonical,bootstrap,19,,False,0.4844
canonical,bootstrap,20,,False,0.4994
canonical,bootstrap,21,,False,0.5077
canonical,bootstrap,22,,False,0.4411
canonical,bootstrap,23,,False,0.5329
canonical,bootstrap,24,,False,0.5247
canonical,bootstrap,25,,False,0.5191
canonical,bootstrap,26,,False,0.5353
canonical,bootstrap,27,,False,0.5371
canonical,bootstrap,28,,False,0.5902
canonical,bootstrap,29,,False,0.5605
canonical,bootstrap,30,,False,0.4879
canonical,bootstrap,31,,False,0.5519
canonical,bootstrap,32,,False,0.4659
canonical,bootstrap,33,,False,0.5284
canonical,bootstrap,34,,False,0.4397
canonical,bootstrap,35,,False,0.5095
canonical,bootstrap,36,,False,0.5289
canonical,bootstrap,37,,False,0.5496
canonical,bootstrap,38,,False,0.5119
canonical,bootstrap,39,,False,0.5582
canonical,bootstrap,40,,False,0.4916
canonical,bootstrap,41,,False,0.5364
canonical,bootstrap,42,,False,0.5610
canonical,bootstrap,43,,False,0.4983
canonical,bootstrap,44,,False,0.5736
canonical,bootstrap,45,,False,0.4955
canonical,bootstrap,46,,False,0.4879
canonical,bootstrap,47,,False,0.5198
canonical,bootstrap,48,,False,0.5213
canonical,bootstrap,49,,False,0.4601
canonical,bootstrap,50,,False,0.4932
canonical,bootstrap,51,,False,0.5030
canonical,bootstrap,52,,False,0.4822
canonical,bootstrap,53,,False,0.4211
canonical,bootstrap,54,,False,0.5338
canonical,bootstrap,55,,False,0.5314
canonical,bootstrap,56,,False,0.4333
canonical,bootstrap,57,,False,0.4878
canonical,bootstrap,58,,False,0.4815
canonical,bootstrap,59,,False,0.4688
canonical,bootstrap,60,,False,0.5520
canonical,bootstrap,61,,False,0.4429
canonical,bootstrap,62,,False,0.4530
canonical,bootstrap,63,,False,0.5345
canonical,bootstrap,64,,False,0.4921
canonical,bootstrap,65,,False,0.5052
canonical,bootstrap,66,,False,0.4865
canonical,bootstrap,67,,False,0.4996
canonical,bootstrap,68,,False,0.5086
canonical,bootstrap,69,,False,0.5429
canonical,bootstrap,70,,False,0.5283
canonical,bootstrap,71,,False,0.4989
canonical,bootstrap,72,,False,0.4410
canonical,bootstrap,73,,False,0.5047
canonical,bootstrap,74,,False,0.5404
canonical,bootstrap,75,,False,0.5118
canonical,bootstrap,76,,False,0.5356
canonical,bootstrap,77,,False,0.5595
canonical,bootstrap,78,,False,0.5172
canonical,bootstrap,79,,False,0.4917
canonical,bootstrap,80,,False,0.5353
canonical,bootstrap,81,,False,0.4959
canonical,bootstrap,82,,False,0.5354
canonical,bootstrap,83,,False,0.4957
canonical,bootstrap,84,,False,0.5504
canonical,bootstrap,85,,False,0.5195
canonical,bootstrap,86,,False,0.4475
canonical,bootstrap,87,,False,0.5166
canonical,bootstrap,88,,False,0.4751
canonical,bootstrap,89,,False,0.5294
canonical,bootstrap,90,,False,0.5722
canonical,bootstrap,91,,False,0.5259
canonical,bootstrap,92,,False,0.5223
canonical,bootstrap,93,,False,0.5556
canonical,bootstrap,94,,False,0.5374
canonical,bootstrap,95,,False,0.5294
canonical,bootstrap,96,,False,0.4698
canonical,bootstrap,97,,False,0.5121
canonical,bootstrap,98,,False,0.4845
canonical,bootstrap,99,,False,0.5560
canonical_plus_nc,repeated_gkf,0,0,False,0.5933
canonical_plus_nc,repeated_gkf,0,1,False,0.4883
canonical_plus_nc,repeated_gkf,0,2,False,0.4778
canonical_plus_nc,repeated_gkf,0,3,False,0.5490
canonical_plus_nc,repeated_gkf,0,4,False,0.4987
canonical_plus_nc,repeated_gkf,1,0,False,0.5743
