domain,condition,ssl_rank,label_fraction,n_labeled,auroc,top1_acc,auc_of_selacc
coding,supervised_svd,-1,0.01,1,0.5009741432276644,0.56,0.47375
coding,no_svd_lr,-1,0.01,1,0.49478518351757794,0.52,0.434375
coding,semisup,4,0.01,1,0.4987772790589692,0.48,0.509375
coding,semisup,8,0.01,1,0.5,0.56,0.625
coding,semisup,16,0.01,1,0.4988338734817607,0.52,0.515625
coding,supervised_svd,-1,0.05,7,0.4932278988617017,0.52,0.45375
coding,no_svd_lr,-1,0.05,7,0.44942021984275504,0.52,0.3375
coding,semisup,4,0.05,7,0.49387576429829955,0.56,0.5431250000000001
coding,semisup,8,0.05,7,0.5,0.56,0.625
coding,semisup,16,0.05,7,0.5042695958188916,0.48,0.5162500000000001
coding,supervised_svd,-1,0.1,14,0.4583501006036217,0.48,0.44375
coding,no_svd_lr,-1,0.1,14,0.41878278216306386,0.44,0.244375
coding,semisup,4,0.1,14,0.5015558776122158,0.56,0.558125
coding,semisup,8,0.1,14,0.5,0.56,0.625
coding,semisup,16,0.1,14,0.49899443279724964,0.52,0.5118750000000001
coding,supervised_svd,-1,0.2,28,0.45318296726747426,0.52,0.44000000000000006
coding,no_svd_lr,-1,0.2,28,0.44263952010430885,0.56,0.33875
coding,semisup,4,0.2,28,0.5068326040157027,0.52,0.5125
coding,semisup,8,0.2,28,0.5,0.56,0.625
coding,semisup,16,0.2,28,0.49908886106069206,0.52,0.511875
coding,supervised_svd,-1,0.5,71,0.46631615645700153,0.52,0.4618749999999999
coding,no_svd_lr,-1,0.5,71,0.4636973355283214,0.6,0.40062499999999995
coding,semisup,4,0.5,71,0.49460680164905513,0.52,0.514375
coding,semisup,8,0.5,71,0.5,0.56,0.625
coding,semisup,16,0.5,71,0.49895597360386096,0.52,0.5131249999999999
coding,supervised_svd,-1,1.0,142,0.4638674314730652,0.52,0.4618749999999999
coding,no_svd_lr,-1,1.0,142,0.4797179346475121,0.6,0.47250000000000003
coding,semisup,4,1.0,142,0.49617112152323417,0.56,0.515
coding,semisup,8,1.0,142,0.5,0.56,0.625
coding,semisup,16,1.0,142,0.5019784597249386,0.52,0.526875
science,supervised_svd,-1,0.01,2,0.6443503564670692,0.7666666666666666,0.85859375
science,no_svd_lr,-1,0.01,2,0.5381798903899125,0.7833333333333334,0.7786458333333334
science,frozen_svd,-1,0.01,2,0.49193663660692044,0.7833333333333334,0.7377604166666666
science,semisup,4,0.01,2,0.572729047709538,0.5666666666666667,0.79609375
science,semisup,8,0.01,2,0.5,0.6499999999999999,0.8333333333333333
science,semisup,16,0.01,2,0.6554816036710772,0.7,0.88359375
science,supervised_svd,-1,0.05,8,0.57134855116503,0.7833333333333333,0.7867187500000001
science,no_svd_lr,-1,0.05,8,0.6732063520857429,0.7166666666666666,0.8825520833333333
science,frozen_svd,-1,0.05,8,0.5769929370697037,0.7833333333333334,0.8096354166666667
science,semisup,4,0.05,8,0.3979959561759334,0.7,0.5994791666666668
science,semisup,8,0.05,8,0.5,0.6499999999999999,0.8333333333333333
science,semisup,16,0.05,8,0.5001360515966884,0.7,0.7299479166666667
science,supervised_svd,-1,0.1,17,0.7723626179188079,0.7,0.95703125
science,no_svd_lr,-1,0.1,17,0.7974837043470553,0.7666666666666667,0.9505208333333333
science,frozen_svd,-1,0.1,17,0.770488081355849,0.7833333333333334,0.9552083333333334
science,semisup,4,0.1,17,0.6022697153578387,0.5,0.8341145833333333
science,semisup,8,0.1,17,0.5,0.6499999999999999,0.8333333333333333
science,semisup,16,0.1,17,0.701163068733041,0.7,0.9653645833333333
science,supervised_svd,-1,0.2,34,0.7907450365522108,0.75,0.98125
science,no_svd_lr,-1,0.2,34,0.8283410118107138,0.7333333333333334,0.98828125
science,frozen_svd,-1,0.2,34,0.8152528724171355,0.7333333333333334,0.9893229166666666
science,semisup,4,0.2,34,0.6187740273560038,0.5166666666666666,0.8713541666666667
science,semisup,8,0.2,34,0.5,0.6499999999999999,0.8333333333333333
science,semisup,16,0.2,34,0.7311318725830802,0.6833333333333333,0.9700520833333335
science,supervised_svd,-1,0.5,84,0.7727476075308166,0.7666666666666666,0.9567708333333333
science,no_svd_lr,-1,0.5,84,0.8258519265266555,0.75,0.9841145833333333
science,frozen_svd,-1,0.5,84,0.792446728262777,0.8,0.984375
science,semisup,4,0.5,84,0.610654745751637,0.5166666666666666,0.8531249999999999
science,semisup,8,0.5,84,0.5,0.6499999999999999,0.8333333333333333
science,semisup,16,0.5,84,0.7714657074939264,0.7,0.9822916666666668
science,supervised_svd,-1,1.0,168,0.770067360236304,0.7666666666666666,0.9578125
science,no_svd_lr,-1,1.0,168,0.8320333293785878,0.7,0.98515625
science,frozen_svd,-1,1.0,168,0.7943518349746974,0.7333333333333334,0.9846354166666667
science,semisup,4,1.0,168,0.6102110331247499,0.5166666666666666,0.8515625
science,semisup,8,1.0,168,0.5,0.6499999999999999,0.8333333333333333
science,semisup,16,1.0,168,0.7876257206991766,0.6833333333333333,0.9872395833333334
math,supervised_svd,-1,0.01,1,0.7524195962424365,0.6785714285714286,0.9291208791208793
math,no_svd_lr,-1,0.01,1,0.7759215004147616,0.75,0.9560439560439561
math,frozen_svd,-1,0.01,1,0.6569406935714045,0.75,0.8802197802197803
math,semisup,4,0.01,1,0.4989525919522132,0.6785714285714286,0.6549450549450551
math,semisup,8,0.01,1,0.5,0.7142857142857143,0.7857142857142857
math,semisup,16,0.01,1,0.5287071054033065,0.6785714285714286,0.7285714285714286
math,supervised_svd,-1,0.05,5,0.737993190017033,0.75,0.9538461538461539
math,no_svd_lr,-1,0.05,5,0.880551436735613,0.75,0.9978021978021978
math,frozen_svd,-1,0.05,5,0.8841509694373852,0.75,0.9989010989010989
math,semisup,4,0.05,5,0.5928496445205402,0.7142857142857143,0.7642857142857142
math,semisup,8,0.05,5,0.5,0.7142857142857143,0.7857142857142857
math,semisup,16,0.05,5,0.6515890159427788,0.7142857142857143,0.8901098901098902
math,supervised_svd,-1,0.1,10,0.8194003852214792,0.75,0.982967032967033
math,no_svd_lr,-1,0.1,10,0.9158038282930193,0.75,0.9994505494505495
math,frozen_svd,-1,0.1,10,0.9187638381509217,0.75,0.9989010989010989
math,semisup,4,0.1,10,0.5927468361352615,0.6428571428571429,0.8093406593406592
math,semisup,8,0.1,10,0.5,0.7142857142857143,0.7857142857142857
math,semisup,16,0.1,10,0.638085860902882,0.7142857142857143,0.8912087912087913
math,supervised_svd,-1,0.2,21,0.8840767167670498,0.75,0.9950549450549451
math,no_svd_lr,-1,0.2,21,0.9547141056066882,0.75,0.9983516483516484
math,frozen_svd,-1,0.2,21,0.9543041848720136,0.75,0.9967032967032967
math,semisup,4,0.2,21,0.6756968409689217,0.6785714285714286,0.8835164835164836
math,semisup,8,0.2,21,0.5,0.7142857142857143,0.7857142857142857
math,semisup,16,0.2,21,0.7301171910679495,0.75,0.9302197802197802
math,supervised_svd,-1,0.5,52,0.8763816800908665,0.7857142857142857,0.9978021978021978
math,no_svd_lr,-1,0.5,52,0.957343620566775,0.7142857142857143,0.9978021978021978
math,frozen_svd,-1,0.5,52,0.9573133780019759,0.75,0.9978021978021978
math,semisup,4,0.5,52,0.6881656397768984,0.7142857142857143,0.8895604395604396
math,semisup,8,0.5,52,0.5,0.7142857142857143,0.7857142857142857
math,semisup,16,0.5,52,0.7406261620850414,0.75,0.9428571428571428
math,supervised_svd,-1,1.0,104,0.8826684656694314,0.7857142857142857,0.9989010989010989
math,no_svd_lr,-1,1.0,104,0.9594054966269313,0.7142857142857143,0.9972527472527473
math,frozen_svd,-1,1.0,104,0.9581976786133487,0.75,0.9978021978021978
math,semisup,4,1.0,104,0.6661496474175942,0.6785714285714286,0.8802197802197804
math,semisup,8,1.0,104,0.5,0.7142857142857143,0.7857142857142857
math,semisup,16,1.0,104,0.7793676711059027,0.75,0.9554945054945055
