row_kind,domain,protocol,split_name,representation,method_name,family_name,seed,n_seeds,reference_kind,status,auc_of_auroc,auc_of_selacc,auroc_at_100,stop_acc_at_100,earliest_gt_0p6,val_auroc_mean,best_svd_reference_method,best_svd_reference_auc_of_auroc,delta_auc_of_auroc_vs_best_svd,best_linear_reference_method,best_linear_reference_auc_of_auroc,delta_auc_of_auroc_vs_best_linear,anchor_config_summary,notes
reference,math,id_grouped_85_15,seed42_grouped_holdout,n/a,earlystop_svd_lowrank_lr_v1,,,0,svd,ok,0.7769243516981771,0.9560439560439562,0.9047364835025313,0.7142857142857143,10%,,,,,,,,,
reference,math,id_grouped_85_15,seed42_grouped_holdout,n/a,earlystop_prefix10_svd_round1,,,0,svd,ok,0.9347815302068707,0.9994505494505495,0.962987896108413,0.7857142857142857,10%,,,,,,,,,
reference,math,id_grouped_85_15,seed42_grouped_holdout,n/a,es_svd_math_rr_r2_20260412,,,0,svd,ok,0.9686006761264465,0.9983516483516484,0.9827020870200405,0.75,10%,,,,,,,,,
reference,math,id_grouped_85_15,seed42_grouped_holdout,n/a,tok_conf_prefix_mean_v1,,,0,linear,ok,0.6851815514759283,0.9423076923076923,0.6838332458100698,0.75,10%,,,,,,,,,
reference,science,id_grouped_85_15,seed42_grouped_holdout,n/a,earlystop_svd_lowrank_lr_v1,,,0,svd,ok,0.7719179099689608,0.9658854166666666,0.7937464402540202,0.7666666666666666,10%,,,,,,,,,
reference,science,id_grouped_85_15,seed42_grouped_holdout,n/a,earlystop_prefix10_svd_round1,,,0,svd,ok,0.7730072593947327,0.9796875,0.7984441079208797,0.7333333333333334,10%,,,,,,,,,
reference,science,id_grouped_85_15,seed42_grouped_holdout,n/a,es_svd_science_rr_r2_20260412,,,0,svd,ok,0.8398259487391495,0.9770833333333333,0.8621417934830637,0.7333333333333334,10%,,,,,,,,,
reference,science,id_grouped_85_15,seed42_grouped_holdout,n/a,tok_conf_prefix_mean_v1,,,0,linear,ok,0.8088953690217542,0.9630208333333334,0.8560652825616775,0.7,10%,,,,,,,,,
reference,ms,id_grouped_85_15,seed42_grouped_holdout,n/a,earlystop_svd_lowrank_lr_v1,,,0,svd,ok,0.7758118090916846,0.9582309472934472,0.8800720294473067,0.7259259259259259,10%,,,,,,,,,
reference,ms,id_grouped_85_15,seed42_grouped_holdout,n/a,earlystop_prefix10_svd_round1,,,0,svd,ok,0.8988316922486178,0.9950587606837608,0.9264226098445165,0.7740740740740741,10%,,,,,,,,,
reference,ms,id_grouped_85_15,seed42_grouped_holdout,n/a,es_svd_ms_rr_r2_20260412,,,0,svd,ok,0.9399840700403806,0.9936253561253561,0.9559109106784902,0.7462962962962963,10%,,,,,,,,,
reference,ms,id_grouped_85_15,seed42_grouped_holdout,n/a,tok_conf_prefix_mean_v1,,,0,linear,ok,0.7126735109305563,0.9469106125356126,0.7221070317548715,0.7388888888888889,10%,,,,,,,,,
reference,coding,id_grouped_85_15,seed42_grouped_holdout,n/a,earlystop_svd_lowrank_lr_v1,,,0,svd,ok,0.47623737764582835,0.385625,0.4732606986128113,0.56,N/A,,,,,,,,,
reference,coding,id_grouped_85_15,seed42_grouped_holdout,n/a,earlystop_prefix10_svd_round1,,,0,svd,ok,0.47623737764582835,0.385625,0.4732606986128113,0.56,N/A,,,,,,,,,
reference,coding,id_grouped_85_15,seed42_grouped_holdout,n/a,es_svd_coding_rr_r1,,,0,svd,ok,0.4923833599889938,0.405625,0.4281727662009352,0.52,20%,,,,,,,,,
reference,coding,id_grouped_85_15,seed42_grouped_holdout,n/a,tok_conf_prefix_mean_v1,,,0,linear,ok,0.5062144428341612,0.45812500000000006,0.4904031805440256,0.48,N/A,,,,,,,,,
