domain,protocol,model_family,feature_variant,auc_of_auroc,auc_of_selacc,auroc_at_100,stop_acc_at_100,samples,num_caches,svd_method,svd_auc_of_auroc,svd_auc_of_selacc,svd_auroc_at_100,svd_stop_acc_at_100,delta_auc_of_auroc_vs_svd,delta_auc_of_selacc_vs_svd,delta_auroc_at_100_vs_svd,delta_stop_acc_at_100_vs_svd,search_cv_auroc,search_positions_pct,search_config_json,note,ood_gap_auc_of_auroc
math,id_grouped_85_15,xgboost,raw,0.9574669956128175,0.9989010989010989,0.9775705152553513,0.75,1792,7,es_svd_math_rr_r2_20260412,0.9686006761264465,0.9983516483516484,0.9827020870200405,0.75,-0.011133680513629063,0.0005494505494505475,-0.005131571764689147,0.0,0.95460833023567,100,"{""colsample"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""model_family"": ""xgboost"", ""n_estimators"": 800, ""subsample"": 0.7}",,
math,id_grouped_85_15,xgboost,raw+rank,0.9594877493417219,0.9972527472527473,0.9759410698805014,0.7857142857142857,1792,7,es_svd_math_rr_r2_20260412,0.9686006761264465,0.9983516483516484,0.9827020870200405,0.75,-0.00911292678472464,-0.001098901098901095,-0.006761017139539027,0.0357142857142857,0.9569929023972115,100,"{""colsample"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 1, ""model_family"": ""xgboost"", ""n_estimators"": 800, ""subsample"": 0.7}",,
math,id_grouped_85_15,lightgbm,raw,0.9561128512459737,0.9983516483516484,0.9777916417685164,0.75,1792,7,es_svd_math_rr_r2_20260412,0.9686006761264465,0.9983516483516484,0.9827020870200405,0.75,-0.012487824880472842,0.0,-0.004910445251524065,0.0,0.9524731592443129,100,"{""colsample"": 0.7, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_data_in_leaf"": 30, ""model_family"": ""lightgbm"", ""n_estimators"": 100, ""subsample"": 0.7}",,
math,id_grouped_85_15,lightgbm,raw+rank,0.9606888977953644,0.9967032967032967,0.9779578657282463,0.7857142857142857,1792,7,es_svd_math_rr_r2_20260412,0.9686006761264465,0.9983516483516484,0.9827020870200405,0.75,-0.007911778331082142,-0.0016483516483516425,-0.004744221291794193,0.0357142857142857,0.9549731162878116,100,"{""colsample"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_data_in_leaf"": 10, ""model_family"": ""lightgbm"", ""n_estimators"": 800, ""subsample"": 0.7}",,
science,id_grouped_85_15,xgboost,raw,0.8387508880415109,0.9653645833333334,0.8761340378168805,0.7666666666666667,3840,2,es_svd_science_rr_r2_20260412,0.8398259487391495,0.9770833333333333,0.8621417934830637,0.7333333333333334,-0.00107506069763863,-0.011718749999999889,0.013992244333816739,0.033333333333333326,0.7596042483778197,100,"{""colsample"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 5, ""model_family"": ""xgboost"", ""n_estimators"": 100, ""subsample"": 0.7}",,
science,id_grouped_85_15,xgboost,raw+rank,0.8435877638863643,0.978125,0.8747233658134476,0.7666666666666666,3840,2,es_svd_science_rr_r2_20260412,0.8398259487391495,0.9770833333333333,0.8621417934830637,0.7333333333333334,0.003761815147214742,0.0010416666666667185,0.012581572330383817,0.033333333333333215,0.7613226040497623,100,"{""colsample"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""model_family"": ""xgboost"", ""n_estimators"": 300, ""subsample"": 0.7}",,
science,id_grouped_85_15,lightgbm,raw,0.8357678860207911,0.9653645833333333,0.8726747250366278,0.7333333333333334,3840,2,es_svd_science_rr_r2_20260412,0.8398259487391495,0.9770833333333333,0.8621417934830637,0.7333333333333334,-0.004058062718358402,-0.01171875,0.010532931553564051,0.0,0.7587918608095912,100,"{""colsample"": 0.7, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_data_in_leaf"": 30, ""model_family"": ""lightgbm"", ""n_estimators"": 100, ""subsample"": 0.7}",,
science,id_grouped_85_15,lightgbm,raw+rank,0.8402160306878677,0.9763020833333333,0.8738854041449833,0.7666666666666666,3840,2,es_svd_science_rr_r2_20260412,0.8398259487391495,0.9770833333333333,0.8621417934830637,0.7333333333333334,0.00039008194871814617,-0.0007812499999999556,0.011743610661919535,0.033333333333333215,0.7598517065452608,100,"{""colsample"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_data_in_leaf"": 30, ""model_family"": ""lightgbm"", ""n_estimators"": 300, ""subsample"": 1.0}",,
coding,id_grouped_85_15,xgboost,raw,0.5557737254920353,0.534375,0.54207764066919,0.56,1600,1,es_svd_coding_rr_r1,0.4923833599889938,0.405625,0.4281727662009352,0.52,0.0633903655030415,0.12875000000000003,0.11390487446825476,0.040000000000000036,0.5536728954837347,100,"{""colsample"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""model_family"": ""xgboost"", ""n_estimators"": 300, ""subsample"": 1.0}",,
coding,id_grouped_85_15,xgboost,raw+rank,0.5478472231993358,0.51375,0.5284199368706411,0.52,1600,1,es_svd_coding_rr_r1,0.4923833599889938,0.405625,0.4281727662009352,0.52,0.05546386321034197,0.10812500000000003,0.10024717066970595,0.0,0.551280937878718,100,"{""colsample"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""model_family"": ""xgboost"", ""n_estimators"": 100, ""subsample"": 1.0}",,
